Date,ALDATA.Death,ALDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,1,0
2020-3-27,3,0
2020-3-28,3,0
2020-3-29,4,0
2020-3-30,6,0
2020-3-31,13,0
2020-4-1,26,0
2020-4-2,32,0
2020-4-3,35,0
2020-4-4,43,0
2020-4-5,45,0
2020-4-6,50,0
2020-4-7,56,0
2020-4-8,66,0
2020-4-9,74,0
2020-4-10,80,0
2020-4-11,91,0
2020-4-12,93,0
2020-4-13,99,0
2020-4-14,110,0
2020-4-15,121,0
2020-4-16,133,0
2020-4-17,144,0
2020-4-18,146,0
2020-4-19,154,0
2020-4-20,167,0
2020-4-21,177,0
2020-4-22,194,0
2020-4-23,197,0
2020-4-24,197,0
2020-4-25,212,0
2020-4-26,216,0
2020-4-27,222,0
2020-4-28,242,0
2020-4-29,245,0
2020-4-30,269,0
2020-5-1,279,0
2020-5-2,288,0
2020-5-3,290,290
2020-5-4,296,296
2020-5-5,313,313
2020-5-6,340,340
2020-5-7,349,349
2020-5-8,375,375
2020-5-9,388,388
2020-5-10,393,393
2020-5-11,401,401
2020-5-12,429,429
2020-5-13,449,449
2020-5-14,467,467
2020-5-15,476,476
2020-5-16,485,485
2020-5-17,488,488
2020-5-18,489,489
2020-5-19,504,504
2020-5-20,517,517
2020-5-21,529,529
2020-5-22,537,537
2020-5-23,546,546
2020-5-24,551,551
2020-5-25,562,562
2020-5-26,575,575
2020-5-27,581,581
2020-5-28,590,590
2020-5-29,605,605
2020-5-30,618,618
2020-5-31,631,629
2020-6-1,646,644
2020-6-2,651,649
2020-6-3,653,651
2020-6-4,653,651
2020-6-5,676,672
2020-6-6,689,685
2020-6-7,692,688
2020-6-8,718,714
2020-6-9,729,725
2020-6-10,744,739
2020-6-11,755,750
2020-6-12,769,764
2020-6-13,773,768
2020-6-14,773,768
2020-6-15,774,769
2020-6-16,785,779
2020-6-17,790,784
2020-6-18,810,801
2020-6-19,822,812
2020-6-20,838,828
2020-6-21,839,829
2020-6-22,841,831
2020-6-23,864,854
2020-6-24,891,879
2020-6-25,896,880
2020-6-26,907,887
2020-6-27,919,898
2020-6-28,919,898
2020-6-29,929,905
2020-6-30,950,926
2020-7-1,972,947
2020-7-2,985,961
2020-7-3,1006,983
2020-7-4,1007,984
2020-7-5,1007,984
2020-7-6,1007,984
2020-7-7,1033,1007
2020-7-8,1058,1032
2020-7-9,1068,1042
2020-7-10,1104,1077
2020-7-11,1114,1086
2020-7-12,1121,1093
2020-7-13,1124,1096
2020-7-14,1164,1136
2020-7-15,1211,1183
2020-7-16,1230,1200
2020-7-17,1265,1232
2020-7-18,1286,1253
2020-7-19,1287,1254
2020-7-20,1291,1257
2020-7-21,1303,1268
2020-7-22,1364,1325
2020-7-23,1397,1357
2020-7-24,1438,1395
2020-7-25,1456,1413
2020-7-26,1473,1428
2020-7-27,1491,1446
2020-7-28,1491,1446
2020-7-29,1538,1489
2020-7-30,1565,1516
2020-7-31,1580,1531
2020-8-1,1603,1553
2020-8-2,1627,1576
2020-8-3,1633,1580
2020-8-4,1666,1611
2020-8-5,1695,1639
2020-8-6,1714,1654
2020-8-7,1735,1674
2020-8-8,1735,1674
2020-8-9,1768,1707
2020-8-10,1797,1733
2020-8-11,1847,1781
2020-8-12,1882,1814
2020-8-13,1890,1821
2020-8-14,1893,1825
2020-8-15,1896,1828
2020-8-16,1898,1830
2020-8-17,1925,1855
2020-8-18,1936,1867
2020-8-19,1944,1876
2020-8-20,1974,1905
2020-8-21,1990,1921
2020-8-22,2011,1942
2020-8-23,2013,1944
2020-8-24,2024,1950
2020-8-25,2037,1959
2020-8-26,2045,1965
2020-8-27,2076,1990
2020-8-28,2107,2017
2020-8-29,2152,2059
2020-8-30,2162,2067
2020-8-31,2182,2083
2020-9-1,2200,2102
2020-9-2,2217,2114
2020-9-3,2233,2120
2020-9-4,2266,2144
2020-9-5,2275,2151
2020-9-6,2276,2152
2020-9-7,2276,2152
2020-9-8,2277,2153
2020-9-9,2285,2161
2020-9-10,2301,2176
2020-9-11,2333,2204
2020-9-12,2350,2217
2020-9-13,2351,2218
2020-9-14,2355,2221
2020-9-15,2387,2253
2020-9-16,2392,2257
2020-9-17,2401,2264
2020-9-18,2428,2284
2020-9-19,2437,2290
2020-9-20,2437,2290
2020-9-21,2439,2292
2020-9-22,2457,2304
2020-9-23,2488,2335
2020-9-24,2506,2349
2020-9-25,2491,2357
2020-9-26,2501,2364
2020-9-27,2501,2364
2020-9-28,2501,2364
2020-9-29,2517,2378
2020-9-30,2540,2399
2020-10-1,2548,2405
2020-10-2,2550,2409
2020-10-3,2558,2416
2020-10-4,2558,2416
2020-10-5,2559,2417
2020-10-6,2580,2436
2020-10-7,2601,2454
2020-10-8,2637,2484
2020-10-9,2653,2496
2020-10-10,2664,2508
2020-10-11,2664,2508
2020-10-12,2665,2509
2020-10-13,2665,2509
2020-10-14,2706,2549
2020-10-15,2756,2590
2020-10-16,2786,2618
2020-10-17,2788,2620
2020-10-18,2788,2620
2020-10-19,2789,2621
2020-10-20,2805,2633
2020-10-21,2805,2633
2020-10-22,2843,2660
2020-10-23,2859,2674
2020-10-24,2866,2680
2020-10-25,2866,2680
2020-10-26,2866,2680
2020-10-27,2892,2699
2020-10-28,2911,2713
2020-10-29,2914,2718
2020-10-30,2932,2735
2020-10-31,2967,2761
2020-11-1,2973,2767
2020-11-2,2973,2767
2020-11-3,2987,2782
2020-11-4,3006,2799
2020-11-5,3026,2818
2020-11-6,3049,2839
2020-11-7,3082,2864
2020-11-8,3084,2865
2020-11-9,3084,2865
2020-11-10,3120,2890
2020-11-11,3201,2958
2020-11-12,3213,2970
2020-11-13,3231,2989
2020-11-14,3246,2998
2020-11-15,3248,3000
2020-11-16,3249,3001
2020-11-17,3301,3040
2020-11-18,3347,3073
2020-11-19,3419,3123
2020-11-20,3451,3148
2020-11-21,3457,3153
2020-11-22,3457,3153
2020-11-23,3459,3155
2020-11-24,3472,3165
2020-11-25,3532,3207
2020-11-26,3572,3240
2020-11-27,3572,3240
2020-11-28,3572,3240
2020-11-29,3577,3245
2020-11-30,3578,3246
2020-12-1,3638,3280
2020-12-2,3711,3326
2020-12-3,3776,3375
2020-12-4,3831,3411
2020-12-5,3877,3454
2020-12-6,3889,3462
2020-12-7,3892,3465
2020-12-8,3942,3496
2020-12-9,3985,3525
2020-12-10,4034,3569
2020-12-11,4086,3612
2020-12-12,4102,3624
2020-12-13,4102,3624
2020-12-14,4102,3624
2020-12-15,4124,3642
2020-12-16,4198,3704
2020-12-17,4254,3745
2020-12-18,4296,3772
2020-12-19,4389,3849
2020-12-20,4389,3849
2020-12-21,4389,3849
2020-12-22,4452,3910
2020-12-23,4587,4023
2020-12-24,4676,4093
2020-12-25,4680,4096
2020-12-26,4685,4101
2020-12-27,4691,4105
2020-12-28,4712,4120
2020-12-29,4737,4138
2020-12-30,4774,4174
2020-12-31,4827,4219
2021-1-1,4872,4254
2021-1-2,4872,4254
2021-1-3,4873,4255
2021-1-4,4878,4259
2021-1-5,4886,4266
2021-1-6,4994,4346
2021-1-7,5080,4408
2021-1-8,5191,4482
2021-1-9,5299,4563
2021-1-10,5334,4587
2021-1-11,5347,4593
2021-1-12,5573,4732
2021-1-13,5760,4862
2021-1-14,5945,4977
2021-1-15,6030,5038
2021-1-16,6119,5098
2021-1-17,6120,5098
2021-1-18,6121,5099
2021-1-19,6126,5101
2021-1-20,6283,5211
2021-1-21,6379,5279
2021-1-22,6486,5350
2021-1-23,6657,5464
2021-1-24,6660,5467
2021-1-25,6662,5469
2021-1-26,6896,5638
2021-1-27,7172,5817
2021-1-28,7340,5928
2021-1-29,7566,6094
2021-1-30,7566,6094
