Date,AZDATA.Death,AZDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,1,0
2020-3-22,2,0
2020-3-23,2,0
2020-3-24,5,0
2020-3-25,6,0
2020-3-26,8,0
2020-3-27,13,0
2020-3-28,15,0
2020-3-29,17,0
2020-3-30,20,0
2020-3-31,24,0
2020-4-1,29,0
2020-4-2,32,0
2020-4-3,41,0
2020-4-4,52,0
2020-4-5,64,0
2020-4-6,65,0
2020-4-7,73,0
2020-4-8,80,0
2020-4-9,89,0
2020-4-10,97,0
2020-4-11,108,0
2020-4-12,115,0
2020-4-13,122,0
2020-4-14,131,0
2020-4-15,142,0
2020-4-16,150,0
2020-4-17,169,0
2020-4-18,177,0
2020-4-19,184,0
2020-4-20,187,0
2020-4-21,208,0
2020-4-22,229,0
2020-4-23,249,0
2020-4-24,266,0
2020-4-25,266,0
2020-4-26,275,0
2020-4-27,275,0
2020-4-28,293,0
2020-4-29,304,0
2020-4-30,320,0
2020-5-1,330,0
2020-5-2,348,0
2020-5-3,362,0
2020-5-4,362,0
2020-5-5,395,0
2020-5-6,426,0
2020-5-7,450,0
2020-5-8,517,0
2020-5-9,532,0
2020-5-10,536,0
2020-5-11,542,0
2020-5-12,562,0
2020-5-13,594,0
2020-5-14,624,0
2020-5-15,651,0
2020-5-16,679,0
2020-5-17,680,0
2020-5-18,686,0
2020-5-19,704,0
2020-5-20,747,0
2020-5-21,763,0
2020-5-22,775,0
2020-5-23,799,0
2020-5-24,800,0
2020-5-25,806,0
2020-5-26,807,0
2020-5-27,831,0
2020-5-28,857,0
2020-5-29,885,0
2020-5-30,903,0
2020-5-31,906,0
2020-6-1,917,0
