Date,CADATA.Death,CADATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,4,0
2020-3-13,4,0
2020-3-14,5,0
2020-3-15,5,0
2020-3-16,6,0
2020-3-17,11,0
2020-3-18,13,0
2020-3-19,18,0
2020-3-20,20,0
2020-3-21,24,0
2020-3-22,27,0
2020-3-23,27,0
2020-3-24,40,0
2020-3-25,53,0
2020-3-26,65,0
2020-3-27,78,0
2020-3-28,101,0
2020-3-29,123,0
2020-3-30,133,0
2020-3-31,153,0
2020-4-1,171,0
2020-4-2,203,0
2020-4-3,237,0
2020-4-4,276,0
2020-4-5,319,0
2020-4-6,343,0
2020-4-7,374,0
2020-4-8,442,0
2020-4-9,492,0
2020-4-10,541,0
2020-4-11,609,0
2020-4-12,651,0
2020-4-13,687,0
2020-4-14,758,0
2020-4-15,821,0
2020-4-16,890,0
2020-4-17,985,0
2020-4-18,1072,0
2020-4-19,1166,0
2020-4-20,1208,0
2020-4-21,1268,0
2020-4-22,1354,0
2020-4-23,1469,0
2020-4-24,1562,0
2020-4-25,1651,0
2020-4-26,1710,0
2020-4-27,1755,0
2020-4-28,1809,0
2020-4-29,1887,0
2020-4-30,1982,0
2020-5-1,2073,0
2020-5-2,2171,0
2020-5-3,2215,0
2020-5-4,2254,0
2020-5-5,2317,0
2020-5-6,2412,0
2020-5-7,2504,0
2020-5-8,2585,0
2020-5-9,2678,0
2020-5-10,2745,0
2020-5-11,2770,0
2020-5-12,2847,0
2020-5-13,2934,0
2020-5-14,3032,0
2020-5-15,3108,0
2020-5-16,3204,0
2020-5-17,3261,0
2020-5-18,3302,0
2020-5-19,3334,0
2020-5-20,3436,0
2020-5-21,3542,0
2020-5-22,3630,0
2020-5-23,3708,0
2020-5-24,3774,0
2020-5-25,3795,0
2020-5-26,3814,0
2020-5-27,3884,0
2020-5-28,3973,0
