Date,CODATA.Death,CODATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,1,0
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,2,0
2020-3-18,2,0
2020-3-19,2,0
2020-3-20,4,0
2020-3-21,5,0
2020-3-22,6,0
2020-3-23,7,0
2020-3-24,11,0
2020-3-25,19,0
2020-3-26,24,0
2020-3-27,31,0
2020-3-28,44,0
2020-3-29,47,0
2020-3-30,51,0
2020-3-31,69,0
2020-4-1,80,0
2020-4-2,97,0
2020-4-3,111,0
2020-4-4,126,0
2020-4-5,140,0
2020-4-6,150,0
2020-4-7,179,0
2020-4-8,193,0
2020-4-9,226,0
2020-4-10,250,0
2020-4-11,274,0
2020-4-12,290,0
2020-4-13,308,0
2020-4-14,329,0
2020-4-15,357,0
2020-4-16,374,0
2020-4-17,391,0
2020-4-18,411,0
2020-4-19,422,0
2020-4-20,449,0
2020-4-21,486,0
2020-4-22,508,0
2020-4-23,552,0
2020-4-24,674,0
2020-4-25,672,0
2020-4-26,680,0
2020-4-27,706,0
2020-4-28,736,0
2020-4-29,766,0
2020-4-30,777,0
2020-5-1,820,0
2020-5-2,832,0
2020-5-3,842,0
2020-5-4,851,0
2020-5-5,903,0
2020-5-6,921,0
2020-5-7,944,0
2020-5-8,960,0
2020-5-9,967,0
2020-5-10,971,0
2020-5-11,987,0
2020-5-12,1009,0
2020-5-13,1062,0
2020-5-14,1091,0
2020-5-15,1150,944
2020-5-16,1192,963
2020-5-17,1215,966
2020-5-18,1224,975
2020-5-19,1257,1001
2020-5-20,1299,1026
2020-5-21,1310,1036
2020-5-22,1324,1048
2020-5-23,1327,1052
2020-5-24,1332,1055
2020-5-25,1333,1056
2020-5-26,1352,1075
2020-5-27,1392,1096
2020-5-28,1421,1115
2020-5-29,1436,1129
