Date,DEDATA.Death,DEDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,1,1
2020-3-25,2,2
2020-3-26,3,3
2020-3-27,5,5
2020-3-28,9,9
2020-3-29,10,10
2020-3-30,11,11
2020-3-31,12,12
2020-4-1,13,13
2020-4-2,16,15
2020-4-3,17,16
2020-4-4,17,16
2020-4-5,19,16
2020-4-6,24,20
2020-4-7,28,23
2020-4-8,32,27
2020-4-9,34,28
2020-4-10,36,30
2020-4-11,43,37
2020-4-12,48,42
2020-4-13,53,47
2020-4-14,60,53
2020-4-15,67,59
2020-4-16,70,61
2020-4-17,76,67
2020-4-18,86,77
2020-4-19,90,80
2020-4-20,99,89
2020-4-21,104,92
2020-4-22,117,103
2020-4-23,131,114
2020-4-24,147,128
2020-4-25,155,136
2020-4-26,168,147
2020-4-27,181,159
2020-4-28,192,170
2020-4-29,204,179
2020-4-30,210,185
2020-5-1,222,197
2020-5-2,235,209
2020-5-3,246,220
2020-5-4,255,226
2020-5-5,266,235
2020-5-6,269,237
2020-5-7,285,253
2020-5-8,297,264
2020-5-9,301,268
2020-5-10,312,277
2020-5-11,324,288
2020-5-12,334,296
2020-5-13,351,308
2020-5-14,362,318
2020-5-15,373,327
2020-5-16,383,336
2020-5-17,392,345
2020-5-18,399,351
2020-5-19,408,357
2020-5-20,414,362
2020-5-21,417,364
2020-5-22,420,367
2020-5-23,425,371
2020-5-24,431,377
2020-5-25,436,382
2020-5-26,444,389
2020-5-27,453,397
2020-5-28,459,402
2020-5-29,463,406
2020-5-30,466,409
2020-5-31,468,411
2020-6-1,471,414
2020-6-2,471,414
2020-6-3,475,418
2020-6-4,483,425
2020-6-5,485,427
2020-6-6,485,427
2020-6-7,488,430
2020-6-8,490,432
2020-6-9,492,434
2020-6-10,493,435
