Date,GADATA.Death,GADATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,1,0
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,10,0
2020-3-20,13,0
2020-3-21,14,0
2020-3-22,23,0
2020-3-23,25,0
2020-3-24,32,0
2020-3-25,40,0
2020-3-26,48,0
2020-3-27,64,0
2020-3-28,69,0
2020-3-29,80,0
2020-3-30,87,0
2020-3-31,111,0
2020-4-1,139,0
2020-4-2,163,0
2020-4-3,184,0
2020-4-4,201,0
2020-4-5,211,0
2020-4-6,229,0
2020-4-7,329,0
2020-4-8,362,0
2020-4-9,379,0
2020-4-10,416,0
2020-4-11,428,0
2020-4-12,433,0
2020-4-13,464,0
2020-4-14,501,0
2020-4-15,552,0
2020-4-16,587,0
2020-4-17,650,0
2020-4-18,673,0
2020-4-19,687,0
2020-4-20,733,0
2020-4-21,799,0
2020-4-22,836,0
2020-4-23,872,0
2020-4-24,892,0
2020-4-25,904,0
2020-4-26,912,0
2020-4-27,971,0
2020-4-28,1026,0
2020-4-29,1093,0
2020-4-30,1120,0
2020-5-1,1154,0
2020-5-2,1174,0
2020-5-3,1177,0
2020-5-4,1222,0
2020-5-5,1288,0
2020-5-6,1311,0
2020-5-7,1336,0
2020-5-8,1377,0
2020-5-9,1400,0
2020-5-10,1405,0
2020-5-11,1441,0
2020-5-12,1461,0
2020-5-13,1505,0
2020-5-14,1527,0
2020-5-15,1557,0
2020-5-16,1592,0
2020-5-17,1606,0
2020-5-18,1642,0
2020-5-19,1664,0
2020-5-20,1687,0
2020-5-21,1754,0
2020-5-22,1785,0
2020-5-23,1811,0
2020-5-24,1824,0
2020-5-25,1830,0
2020-5-26,1871,0
2020-5-27,1907,0
2020-5-28,1962,0
2020-5-29,1974,0
