Date,HIDATA.Death,HIDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,1,1
2020-4-2,1,1
2020-4-3,2,2
2020-4-4,3,3
2020-4-5,4,4
2020-4-6,4,4
2020-4-7,5,5
2020-4-8,5,5
2020-4-9,5,5
2020-4-10,6,6
2020-4-11,8,8
2020-4-12,8,8
2020-4-13,9,9
2020-4-14,9,9
2020-4-15,9,9
2020-4-16,9,9
2020-4-17,9,9
2020-4-18,9,9
2020-4-19,9,9
2020-4-20,10,10
2020-4-21,10,10
2020-4-22,12,12
2020-4-23,12,12
2020-4-24,12,12
2020-4-25,13,13
2020-4-26,14,14
2020-4-27,14,14
2020-4-28,16,16
2020-4-29,16,16
2020-4-30,16,16
2020-5-1,16,16
2020-5-2,16,16
2020-5-3,16,16
2020-5-4,17,17
2020-5-5,17,17
2020-5-6,17,17
2020-5-7,17,17
2020-5-8,17,17
2020-5-9,17,17
2020-5-10,17,17
2020-5-11,17,17
2020-5-12,17,17
2020-5-13,17,17
2020-5-14,17,17
2020-5-15,17,17
2020-5-16,17,17
2020-5-17,17,17
2020-5-18,17,17
2020-5-19,17,17
2020-5-20,17,17
2020-5-21,17,17
2020-5-22,17,17
2020-5-23,17,17
2020-5-24,17,17
2020-5-25,17,17
2020-5-26,17,17
2020-5-27,17,17
2020-5-28,17,17
2020-5-29,17,17
2020-5-30,17,17
2020-5-31,17,17
2020-6-1,17,17
