Date,IADATA.Death,IADATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,3,0
2020-3-28,3,0
2020-3-29,4,0
2020-3-30,6,0
2020-3-31,7,0
2020-4-1,9,0
2020-4-2,11,0
2020-4-3,11,0
2020-4-4,14,0
2020-4-5,22,0
2020-4-6,25,0
2020-4-7,26,0
2020-4-8,27,0
2020-4-9,29,0
2020-4-10,31,0
2020-4-11,34,0
2020-4-12,41,0
2020-4-13,43,0
2020-4-14,49,0
2020-4-15,53,0
2020-4-16,60,0
2020-4-17,64,0
2020-4-18,74,0
2020-4-19,75,0
2020-4-20,79,0
2020-4-21,83,0
2020-4-22,90,0
2020-4-23,96,0
2020-4-24,107,0
2020-4-25,112,0
2020-4-26,118,0
2020-4-27,127,0
2020-4-28,136,0
2020-4-29,148,0
2020-4-30,162,0
2020-5-1,170,0
2020-5-2,175,0
2020-5-3,184,0
2020-5-4,188,0
2020-5-5,207,0
2020-5-6,219,0
2020-5-7,231,0
2020-5-8,243,0
2020-5-9,252,0
2020-5-10,265,0
2020-5-11,271,0
2020-5-12,289,0
2020-5-13,306,0
2020-5-14,318,0
2020-5-15,336,0
2020-5-16,346,0
2020-5-17,351,0
2020-5-18,355,0
2020-5-19,372,0
2020-5-20,388,0
2020-5-21,406,0
2020-5-22,425,0
2020-5-23,444,0
2020-5-24,454,0
2020-5-25,459,0
2020-5-26,478,0
2020-5-27,491,0
2020-5-28,504,0
2020-5-29,522,0
2020-5-30,531,0
2020-5-31,534,0
2020-6-1,551,0
2020-6-2,561,0
2020-6-3,574,0
2020-6-4,580,0
2020-6-5,592,0
2020-6-6,598,0
2020-6-7,604,0
2020-6-8,612,0
2020-6-9,624,0
2020-6-10,630,0
