Date,ILDATA.Death,ILDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,4,0
2020-3-20,5,0
2020-3-21,6,0
2020-3-22,9,0
2020-3-23,12,0
2020-3-24,16,0
2020-3-25,19,0
2020-3-26,26,0
2020-3-27,34,0
2020-3-28,47,0
2020-3-29,65,0
2020-3-30,73,0
2020-3-31,99,0
2020-4-1,141,0
2020-4-2,157,0
2020-4-3,210,0
2020-4-4,243,0
2020-4-5,274,0
2020-4-6,307,0
2020-4-7,380,0
2020-4-8,462,0
2020-4-9,528,0
2020-4-10,596,0
2020-4-11,677,0
2020-4-12,720,0
2020-4-13,794,0
2020-4-14,868,0
2020-4-15,948,0
2020-4-16,1072,0
2020-4-17,1134,0
2020-4-18,1259,0
2020-4-19,1290,0
2020-4-20,1349,0
2020-4-21,1468,0
2020-4-22,1565,0
2020-4-23,1688,0
2020-4-24,1795,0
2020-4-25,1874,0
2020-4-26,1933,0
2020-4-27,1983,0
2020-4-28,2125,0
2020-4-29,2215,0
2020-4-30,2355,0
2020-5-1,2457,0
2020-5-2,2559,0
2020-5-3,2618,0
2020-5-4,2662,0
2020-5-5,2838,0
2020-5-6,2974,0
2020-5-7,3111,0
2020-5-8,3241,0
2020-5-9,3349,0
2020-5-10,3406,0
2020-5-11,3459,0
2020-5-12,3601,3601
2020-5-13,3792,3792
2020-5-14,3928,3928
2020-5-15,4058,4058
2020-5-16,4129,4129
2020-5-17,4177,4177
2020-5-18,4234,4234
2020-5-19,4379,4379
2020-5-20,4525,4525
2020-5-21,4607,4607
2020-5-22,4715,4715
2020-5-23,4790,4790
2020-5-24,4856,4856
2020-5-25,4884,4884
2020-5-26,4923,4923
