Date,INDATA.Death,INDATA.DeathConfirmed
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,1,0
2020-3-17,2,0
2020-3-18,2,0
2020-3-19,2,0
2020-3-20,2,0
2020-3-21,4,0
2020-3-22,6,0
2020-3-23,7,0
2020-3-24,12,0
2020-3-25,14,0
2020-3-26,17,0
2020-3-27,24,0
2020-3-28,31,0
2020-3-29,32,0
2020-3-30,35,0
2020-3-31,49,0
2020-4-1,65,0
2020-4-2,78,0
2020-4-3,102,0
2020-4-4,116,0
2020-4-5,127,0
2020-4-6,139,0
2020-4-7,173,0
2020-4-8,203,0
2020-4-9,245,0
2020-4-10,300,0
2020-4-11,330,0
2020-4-12,343,0
2020-4-13,350,0
2020-4-14,388,0
2020-4-15,436,0
2020-4-16,477,0
2020-4-17,519,0
2020-4-18,545,0
2020-4-19,562,0
2020-4-20,569,0
2020-4-21,630,0
2020-4-22,661,0
2020-4-23,706,0
2020-4-24,741,0
2020-4-25,785,0
2020-4-26,813,0
2020-4-27,844,0
2020-4-28,901,0
2020-4-29,1065,0
2020-4-30,1114,0
2020-5-1,1175,0
2020-5-2,1229,0
2020-5-3,1246,1132
2020-5-4,1264,1151
2020-5-5,1326,1213
2020-5-6,1377,1264
2020-5-7,1414,1295
2020-5-8,1447,1328
2020-5-9,1490,1362
2020-5-10,1508,1379
2020-5-11,1540,1411
2020-5-12,1578,1444
2020-5-13,1619,1482
2020-5-14,1646,1508
2020-5-15,1691,1550
2020-5-16,1741,1596
2020-5-17,1751,1607
2020-5-18,1765,1621
2020-5-19,1824,1678
2020-5-20,1864,1716
2020-5-21,1913,1764
2020-5-22,1941,1791
2020-5-23,1943,1812
2020-5-24,1976,1824
2020-5-25,1976,1832
2020-5-26,2004,1850
2020-5-27,2030,1871
2020-5-28,2068,1907
2020-5-29,2110,1946
2020-5-30,2125,1958
2020-5-31,2134,1967
2020-6-1,2142,1976
2020-6-2,2197,2022
2020-6-3,2207,2032
2020-6-4,2231,2052
2020-6-5,2258,2078
2020-6-6,2292,2110
2020-6-7,2303,2121
2020-6-8,2316,2135
2020-6-9,2339,2158
2020-6-10,2355,2173
2020-6-11,2380,2198
2020-6-12,2396,2214
2020-6-13,2413,2231
2020-6-14,2422,2240
2020-6-15,2433,2251
2020-6-16,2447,2265
2020-6-17,2475,2289
2020-6-18,2491,2304
2020-6-19,2516,2327
2020-6-20,2536,2346
2020-6-21,2540,2350
2020-6-22,2553,2363
2020-6-23,2569,2377
2020-6-24,2578,2386
2020-6-25,2586,2394
2020-6-26,2595,2403
2020-6-27,2616,2424
2020-6-28,2619,2427
2020-6-29,2624,2432
2020-6-30,2640,2448
2020-7-1,2650,2456
2020-7-2,2662,2469
2020-7-3,2681,2488
2020-7-4,2687,2494
2020-7-5,2693,2500
2020-7-6,2698,2505
2020-7-7,2717,2524
2020-7-8,2732,2539
2020-7-9,2739,2546
2020-7-10,2748,2555
2020-7-11,2756,2563
2020-7-12,2760,2567
2020-7-13,2762,2569
2020-7-14,2775,2582
2020-7-15,2785,2592
2020-7-16,2795,2602
2020-7-17,2803,2610
2020-7-18,2820,2627
2020-7-19,2822,2629
2020-7-20,2825,2632
2020-7-21,2846,2652
2020-7-22,2863,2666
2020-7-23,2880,2683
2020-7-24,2884,2687
2020-7-25,2895,2698
2020-7-26,2903,2706
2020-7-27,2906,2709
2020-7-28,2924,2725
2020-7-29,2932,2733
2020-7-30,2946,2746
2020-7-31,2965,2765
2020-8-1,2971,2771
2020-8-2,2975,2775
2020-8-3,2980,2780
2020-8-4,2996,2794
2020-8-5,3007,2805
2020-8-6,3013,2811
2020-8-7,3023,2821
2020-8-8,3036,2834
2020-8-9,3041,2835
2020-8-10,3044,2838
2020-8-11,3069,2863
2020-8-12,3086,2878
2020-8-13,3105,2898
2020-8-14,3113,2906
2020-8-15,3128,2921
2020-8-16,3133,2924
2020-8-17,3135,2926
2020-8-18,3165,2954
2020-8-19,3180,2968
2020-8-20,3191,2979
2020-8-21,3208,2992
2020-8-22,3218,3001
2020-8-23,3220,3003
2020-8-24,3225,3008
2020-8-25,3241,3023
2020-8-26,3259,3041
2020-8-27,3266,3047
2020-8-28,3277,3058
2020-8-29,3285,3066
2020-8-30,3291,3072
2020-8-31,3296,3077
2020-9-1,3312,3093
2020-9-2,3325,3106
2020-9-3,3332,3110
2020-9-4,3350,3127
