Date,KSDATA.Death,KSDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,2,0
2020-3-22,2,0
2020-3-23,2,0
2020-3-24,2,0
2020-3-25,3,0
2020-3-26,3,0
2020-3-27,4,0
2020-3-28,5,0
2020-3-29,6,0
2020-3-30,8,0
2020-3-31,9,0
2020-4-1,10,0
2020-4-2,13,0
2020-4-3,17,0
2020-4-4,21,0
2020-4-5,22,0
2020-4-6,25,0
2020-4-7,27,0
2020-4-8,38,0
2020-4-9,42,0
2020-4-10,50,0
2020-4-11,55,0
2020-4-12,56,0
2020-4-13,62,0
2020-4-14,69,0
2020-4-15,76,0
2020-4-16,80,0
2020-4-17,84,0
2020-4-18,86,0
2020-4-19,92,0
2020-4-20,100,0
2020-4-21,107,0
2020-4-22,110,0
2020-4-23,112,0
2020-4-24,111,0
2020-4-25,117,0
2020-4-26,118,0
2020-4-27,120,0
2020-4-28,124,0
2020-4-29,125,0
2020-4-30,129,0
2020-5-1,130,0
2020-5-2,131,0
2020-5-3,134,0
2020-5-4,136,0
2020-5-5,137,0
2020-5-6,144,0
2020-5-7,147,0
2020-5-8,152,0
2020-5-9,157,0
2020-5-10,157,0
2020-5-11,158,0
2020-5-12,158,0
2020-5-13,164,0
2020-5-14,164,0
2020-5-15,172,0
2020-5-16,172,0
2020-5-17,172,0
2020-5-18,173,0
2020-5-19,173,0
2020-5-20,178,0
2020-5-21,178,0
2020-5-22,185,0
2020-5-23,185,0
2020-5-24,185,0
2020-5-25,188,0
2020-5-26,188,0
2020-5-27,205,0
2020-5-28,205,0
2020-5-29,208,0
2020-5-30,208,0
2020-5-31,208,0
2020-6-1,217,0
2020-6-2,217,0
2020-6-3,222,0
2020-6-4,222,0
2020-6-5,232,0
2020-6-6,232,0
2020-6-7,232,0
2020-6-8,236,0
2020-6-9,236,0
2020-6-10,240,0
