Date,KYDATA.Death,KYDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,2,0
2020-3-22,3,0
2020-3-23,3,0
2020-3-24,4,0
2020-3-25,4,0
2020-3-26,4,0
2020-3-27,6,0
2020-3-28,8,0
2020-3-29,9,0
2020-3-30,9,0
2020-3-31,11,0
2020-4-1,17,0
2020-4-2,20,0
2020-4-3,31,0
2020-4-4,37,0
2020-4-5,40,0
2020-4-6,45,0
2020-4-7,59,0
2020-4-8,65,0
2020-4-9,73,0
2020-4-10,90,0
2020-4-11,90,0
2020-4-12,94,0
2020-4-13,97,0
2020-4-14,104,0
2020-4-15,115,0
2020-4-16,122,0
2020-4-17,129,0
2020-4-18,137,0
2020-4-19,144,0
2020-4-20,148,0
2020-4-21,154,0
2020-4-22,171,0
2020-4-23,185,0
2020-4-24,191,0
2020-4-25,200,0
2020-4-26,205,0
2020-4-27,208,0
2020-4-28,213,0
2020-4-29,225,0
2020-4-30,235,0
2020-5-1,240,0
2020-5-2,248,0
2020-5-3,248,252
2020-5-4,253,252
2020-5-5,261,260
2020-5-6,275,274
2020-5-7,283,282
2020-5-8,294,294
2020-5-9,298,298
2020-5-10,304,304
2020-5-11,304,304
2020-5-12,311,311
2020-5-13,321,321
2020-5-14,326,326
2020-5-15,328,328
2020-5-16,332,332
2020-5-17,334,334
2020-5-18,334,334
2020-5-19,366,345
2020-5-20,366,365
2020-5-21,376,375
2020-5-22,386,385
2020-5-23,391,390
2020-5-24,391,390
2020-5-25,391,390
2020-5-26,391,390
2020-5-27,400,399
2020-5-28,400,399
2020-5-29,409,408
2020-5-30,418,417
2020-5-31,431,430
2020-6-1,439,438
2020-6-2,442,441
2020-6-3,450,449
2020-6-4,458,456
2020-6-5,466,465
2020-6-6,470,468
2020-6-7,470,468
2020-6-8,472,470
2020-6-9,477,475
2020-6-10,484,482
