Date,MADATA.Death,MADATA.DeathConfirmed
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,2,0
2020-3-19,3,0
2020-3-20,5,0
2020-3-21,7,0
2020-3-22,11,0
2020-3-23,17,0
2020-3-24,26,0
2020-3-25,33,0
2020-3-26,42,0
2020-3-27,57,0
2020-3-28,72,0
2020-3-29,99,0
2020-3-30,124,0
2020-3-31,153,0
2020-4-1,187,0
2020-4-2,229,0
2020-4-3,265,0
2020-4-4,304,0
2020-4-5,370,0
2020-4-6,448,0
2020-4-7,515,0
2020-4-8,615,0
2020-4-9,725,0
2020-4-10,832,0
2020-4-11,946,0
2020-4-12,1056,0
2020-4-13,1211,0
2020-4-14,1329,0
2020-4-15,1502,0
2020-4-16,1667,0
2020-4-17,1822,0
2020-4-18,1983,0
2020-4-19,2146,0
2020-4-20,2303,0
2020-4-21,2449,0
2020-4-22,2597,0
2020-4-23,2769,0
2020-4-24,2877,0
2020-4-25,2877,0
2020-4-26,2899,0
2020-4-27,3003,0
2020-4-28,3153,0
2020-4-29,3405,0
2020-4-30,3562,0
2020-5-1,3716,0
2020-5-2,3846,0
2020-5-3,4004,4004
2020-5-4,4090,4090
2020-5-5,4212,4212
2020-5-6,4420,4420
2020-5-7,4552,4552
2020-5-8,4702,4702
2020-5-9,4840,4840
2020-5-10,4979,4979
2020-5-11,5108,5108
2020-5-12,5141,5141
2020-5-13,5315,5315
2020-5-14,5482,5382
2020-5-15,5592,5592
2020-5-16,5705,5705
2020-5-17,5797,5797
2020-5-18,5862,5862
2020-5-19,5938,5938
2020-5-20,6066,6066
2020-5-21,6148,6148
2020-5-22,6228,6228
2020-5-23,6304,6304
2020-5-24,6372,6372
2020-5-25,6416,6416
2020-5-26,6473,6473
2020-5-27,6547,6473
2020-5-28,6640,6640
2020-5-29,6718,6718
2020-5-30,6768,6768
2020-5-31,6846,6846
2020-6-1,7035,6894
2020-6-2,7085,6944
2020-6-3,7152,7012
2020-6-4,7201,7062
2020-6-5,7235,7097
2020-6-6,7289,7152
2020-6-7,7316,7179
2020-6-8,7353,7217
2020-6-9,7408,7255
2020-6-10,7454,7300
2020-6-11,7492,7337
2020-6-12,7538,7382
2020-6-13,7576,7420
2020-6-14,7624,7467
2020-6-15,7647,7490
2020-6-16,7665,7508
2020-6-17,7734,7568
2020-6-18,7770,7591
2020-6-19,7800,7619
2020-6-20,7828,7647
2020-6-21,7858,7677
2020-6-22,7874,7694
2020-6-23,7890,7710
2020-6-24,7938,7752
2020-6-25,7963,7776
2020-6-26,8013,7815
2020-6-27,8041,7841
2020-6-28,8060,7860
2020-6-29,8095,7895
2020-6-30,8054,7874
2020-7-1,8081,7902
2020-7-2,8132,7918
2020-7-3,8149,7935
2020-7-4,8172,7958
2020-7-5,8183,7968
2020-7-6,8198,7983
2020-7-7,8213,7998
2020-7-8,8243,8028
2020-7-9,8268,8053
2020-7-10,8296,8081
2020-7-11,8310,8095
2020-7-12,8325,8110
2020-7-13,8330,8115
2020-7-14,8340,8125
2020-7-15,8368,8152
2020-7-16,8380,8163
2020-7-17,8402,8184
2020-7-18,8419,8201
2020-7-19,8431,8213
2020-7-20,8433,8214
2020-7-21,8450,8231
2020-7-22,8468,8249
2020-7-23,8484,8265
2020-7-24,8498,8297
2020-7-25,8510,8291
2020-7-26,8529,8310
2020-7-27,8536,8317
2020-7-28,8551,8331
2020-7-29,8580,8360
2020-7-30,8595,8375
2020-7-31,8609,8389
2020-8-1,8626,8406
2020-8-2,8638,8417
2020-8-3,8648,8427
2020-8-4,8657,8436
2020-8-5,8659,8438
2020-8-6,8691,8470
2020-8-7,8709,8488
2020-8-8,8721,8500
2020-8-9,8735,8514
2020-8-10,8741,8519
2020-8-11,8751,8529
2020-8-12,8769,8547
2020-8-13,8790,8568
2020-8-14,8804,8582
2020-8-15,8818,8596
2020-8-16,8829,8607
2020-8-17,8833,8611
2020-8-18,8839,8617
2020-8-19,8876,8645
2020-8-20,8888,8657
2020-8-21,8901,8670
2020-8-22,8921,8690
2020-8-23,8921,8690
2020-8-24,8948,8717
2020-8-25,8960,8729
2020-8-26,8987,8755
2020-8-27,9007,8775
2020-8-28,9023,8791
2020-8-29,9036,8803
2020-8-30,9049,8816
2020-8-31,9060,8827
2020-9-1,9064,8831
2020-9-2,9060,8853
2020-9-3,9077,8870
2020-9-4,9100,8892
2020-9-5,9116,8907
2020-9-6,9125,8917
2020-9-7,9133,8925
2020-9-8,9141,8933
2020-9-9,9146,8937
2020-9-10,9166,8957
2020-9-11,9180,8971
2020-9-12,9196,8987
2020-9-13,9210,9001
2020-9-14,9219,9010
2020-9-15,9225,9016
2020-9-16,9245,9036
2020-9-17,9260,9051
2020-9-18,9269,9059
2020-9-19,9295,9085
2020-9-20,9310,9100
2020-9-21,9317,9107
2020-9-22,9328,9118
2020-9-23,9347,9135
2020-9-24,9362,9150
2020-9-25,9373,9160
2020-9-26,9391,9178
2020-9-27,9404,9191
2020-9-28,9415,9202
2020-9-29,9423,9210
2020-9-30,9456,9242
2020-10-1,9480,9265
2020-10-2,9490,9275
2020-10-3,9507,9292
2020-10-4,9510,9295
2020-10-5,9530,9315
2020-10-6,9538,9323
2020-10-7,9557,9342
2020-10-8,9565,9350
2020-10-9,9577,9362
2020-10-10,9587,9372
2020-10-11,9604,9388
2020-10-12,9617,9401
2020-10-13,9630,9413
2020-10-14,9647,9429
2020-10-15,9672,9452
2020-10-16,9702,9482
2020-10-17,9723,9503
2020-10-18,9737,9517
2020-10-19,9753,9532
2020-10-20,9758,9537
2020-10-21,9780,9559
2020-10-22,9810,9589
2020-10-23,9830,9608
2020-10-24,9839,9616
2020-10-25,9864,9640
2020-10-26,9881,9657
2020-10-27,9888,9664
2020-10-28,9924,9700
2020-10-29,9951,9727
