Date,MEDATA.Death,MEDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,1,0
2020-3-28,1,0
2020-3-29,3,0
2020-3-30,3,0
2020-3-31,5,0
2020-4-1,7,0
2020-4-2,7,0
2020-4-3,9,0
2020-4-4,10,0
2020-4-5,10,0
2020-4-6,10,0
2020-4-7,12,0
2020-4-8,14,0
2020-4-9,16,0
2020-4-10,17,0
2020-4-11,19,0
2020-4-12,19,0
2020-4-13,19,0
2020-4-14,20,0
2020-4-15,24,0
2020-4-16,27,0
2020-4-17,29,0
2020-4-18,32,0
2020-4-19,34,0
2020-4-20,35,0
2020-4-21,36,0
2020-4-22,39,0
2020-4-23,44,0
2020-4-24,47,0
2020-4-25,50,0
2020-4-26,50,0
2020-4-27,51,0
2020-4-28,51,0
2020-4-29,52,0
2020-4-30,53,0
2020-5-1,55,0
2020-5-2,56,0
2020-5-3,57,57
2020-5-4,57,57
2020-5-5,61,61
2020-5-6,62,62
2020-5-7,62,62
2020-5-8,63,63
2020-5-9,64,64
2020-5-10,64,64
2020-5-11,65,65
2020-5-12,65,65
2020-5-13,66,66
2020-5-14,69,69
2020-5-15,69,69
2020-5-16,70,70
2020-5-17,70,70
2020-5-18,71,71
2020-5-19,73,73
2020-5-20,73,73
2020-5-21,73,73
2020-5-22,75,75
2020-5-23,77,77
2020-5-24,78,78
2020-5-25,78,78
2020-5-26,79,79
2020-5-27,81,81
2020-5-28,84,84
2020-5-29,85,85
2020-5-30,89,89
2020-5-31,89,89
2020-6-1,89,89
2020-6-2,94,94
2020-6-3,95,95
2020-6-4,95,95
2020-6-5,98,98
2020-6-6,98,98
2020-6-7,99,99
2020-6-8,99,99
2020-6-9,100,100
2020-6-10,100,100
2020-6-11,100,100
2020-6-12,100,100
2020-6-13,100,100
2020-6-14,100,100
2020-6-15,101,101
2020-6-16,101,101
2020-6-17,102,102
2020-6-18,102,102
2020-6-19,102,102
2020-6-20,102,102
2020-6-21,102,102
2020-6-22,102,102
2020-6-23,102,101
2020-6-24,103,102
2020-6-25,103,102
2020-6-26,103,102
2020-6-27,104,103
2020-6-28,104,103
2020-6-29,105,104
2020-6-30,105,104
2020-7-1,105,104
2020-7-2,105,104
2020-7-3,105,104
2020-7-4,107,106
2020-7-5,109,108
2020-7-6,109,108
2020-7-7,110,109
2020-7-8,110,109
2020-7-9,111,110
2020-7-10,111,110
2020-7-11,112,111
2020-7-12,114,113
2020-7-13,114,113
2020-7-14,114,113
2020-7-15,114,113
2020-7-16,114,113
2020-7-17,115,114
2020-7-18,117,116
2020-7-19,117,116
2020-7-20,117,116
2020-7-21,118,117
2020-7-22,118,117
2020-7-23,118,117
2020-7-24,118,117
2020-7-25,119,118
2020-7-26,119,118
2020-7-27,119,118
2020-7-28,121,120
2020-7-29,121,120
2020-7-30,122,121
2020-7-31,123,122
2020-8-1,123,122
2020-8-2,123,122
2020-8-3,124,122
2020-8-4,123,122
2020-8-5,124,123
2020-8-6,124,123
2020-8-7,124,123
2020-8-8,125,124
2020-8-9,125,124
2020-8-10,125,124
2020-8-11,126,125
2020-8-12,126,125
2020-8-13,126,125
2020-8-14,126,125
2020-8-15,127,126
2020-8-16,127,126
2020-8-17,127,126
2020-8-18,127,126
2020-8-19,127,126
2020-8-20,128,127
2020-8-21,129,128
2020-8-22,130,129
2020-8-23,131,130
2020-8-24,131,130
2020-8-25,131,130
2020-8-26,132,131
2020-8-27,132,131
2020-8-28,132,131
2020-8-29,132,131
2020-8-30,132,131
2020-8-31,132,131
2020-9-1,132,131
2020-9-2,133,132
2020-9-3,133,132
2020-9-4,134,133
2020-9-5,134,133
2020-9-6,134,133
2020-9-7,134,133
2020-9-8,134,133
2020-9-9,134,133
2020-9-10,134,133
2020-9-11,134,133
2020-9-12,135,134
2020-9-13,136,135
2020-9-14,136,135
2020-9-15,137,136
2020-9-16,138,137
2020-9-17,138,137
2020-9-18,138,137
2020-9-19,139,138
2020-9-20,139,138
2020-9-21,140,139
2020-9-22,140,139
2020-9-23,140,139
2020-9-24,140,139
2020-9-25,140,139
2020-9-26,140,139
2020-9-27,140,139
2020-9-28,140,139
2020-9-29,141,140
2020-9-30,141,140
2020-10-1,142,141
2020-10-2,142,141
2020-10-3,142,141
2020-10-4,142,141
2020-10-5,142,141
2020-10-6,142,141
2020-10-7,142,141
2020-10-8,142,141
2020-10-9,143,142
2020-10-10,143,142
2020-10-11,143,142
2020-10-12,143,142
2020-10-13,143,142
2020-10-14,143,142
2020-10-15,144,143
2020-10-16,145,144
2020-10-17,146,145
2020-10-18,146,145
2020-10-19,146,145
2020-10-20,146,145
2020-10-21,146,145
2020-10-22,146,145
2020-10-23,146,145
2020-10-24,146,145
2020-10-25,146,145
2020-10-26,146,145
2020-10-27,146,145
2020-10-28,146,145
2020-10-29,146,145
2020-10-30,146,145
2020-10-31,147,146
2020-11-1,147,146
2020-11-2,148,147
2020-11-3,148,147
2020-11-4,150,149
2020-11-5,150,149
2020-11-6,150,149
2020-11-7,152,151
2020-11-8,152,151
2020-11-9,153,152
2020-11-10,156,155
2020-11-11,158,157
2020-11-12,159,158
2020-11-13,162,161
2020-11-14,163,162
2020-11-15,165,164
2020-11-16,165,164
2020-11-17,166,165
2020-11-18,170,169
2020-11-19,171,170
2020-11-20,173,172
2020-11-21,174,173
2020-11-22,176,175
2020-11-23,177,176
2020-11-24,189,188
2020-11-25,190,189
2020-11-26,190,189
2020-11-27,190,189
2020-11-28,191,190
2020-11-29,191,190
2020-11-30,194,193
2020-12-1,214,213
2020-12-2,218,216
2020-12-3,220,218
2020-12-4,224,222
2020-12-5,227,225
2020-12-6,227,225
2020-12-7,227,225
2020-12-8,239,237
2020-12-9,246,244
2020-12-10,246,244
2020-12-11,250,247
2020-12-12,257,253
2020-12-13,257,253
2020-12-14,259,255
2020-12-15,265,261
2020-12-16,267,263
2020-12-17,276,272
2020-12-18,281,277
2020-12-19,292,287
2020-12-20,292,287
2020-12-21,293,288
2020-12-22,303,298
2020-12-23,311,306
2020-12-24,317,312
2020-12-25,319,314
2020-12-26,319,314
2020-12-27,323,318
2020-12-28,326,321
2020-12-29,333,328
2020-12-30,334,329
2020-12-31,347,341
2021-1-1,347,341
2021-1-2,358,352
2021-1-3,359,353
2021-1-4,360,354
2021-1-5,369,363
2021-1-6,372,366
2021-1-7,385,379
2021-1-8,426,420
2021-1-9,432,426
2021-1-10,432,426
2021-1-11,438,432
2021-1-12,449,443
2021-1-13,453,447
2021-1-14,461,456
2021-1-15,477,470
2021-1-16,507,499
2021-1-17,511,503
2021-1-18,514,506
2021-1-19,519,511
2021-1-20,530,521
2021-1-21,536,527
2021-1-22,540,531
2021-1-23,544,535
2021-1-24,544,535
2021-1-25,547,538
2021-1-26,558,549
2021-1-27,562,553
2021-1-28,567,557
2021-1-29,570,560
2021-1-30,590,580
2021-1-31,590,580
2021-2-1,595,585
2021-2-2,618,605
2021-2-3,627,614
2021-2-4,630,617
2021-2-5,632,619
2021-2-6,634,621
2021-2-7,635,622
2021-2-8,636,623
2021-2-9,639,626
2021-2-10,641,628
2021-2-11,641,628
2021-2-12,643,630
