Date,MIDATA.Death,MIDATA.DeathConfirmed
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,1
2020-3-17,2,4
2020-3-18,5,9
2020-3-19,10,11
2020-3-20,13,20
2020-3-21,23,33
2020-3-22,36,54
2020-3-23,57,79
2020-3-24,86,103
2020-3-25,111,149
2020-3-26,159,197
2020-3-27,212,264
2020-3-28,283,326
2020-3-29,351,408
2020-3-30,437,518
2020-3-31,551,641
2020-4-1,676,765
2020-4-2,801,879
2020-4-3,918,985
2020-4-4,1030,1092
2020-4-5,1150,1225
2020-4-6,1291,1377
2020-4-7,1449,1522
2020-4-8,1600,1668
2020-4-9,1756,1822
2020-4-10,1917,1978
2020-4-11,2081,2136
2020-4-12,2249,2269
2020-4-13,2391,2401
2020-4-14,2532,2537
2020-4-15,2672,2701
2020-4-16,2841,2836
2020-4-17,2984,2955
2020-4-18,3107,3076
2020-4-19,3236,3178
2020-4-20,3347,3300
2020-4-21,3471,3428
2020-4-22,3602,3531
2020-4-23,3711,3636
2020-4-24,3818,3745
2020-4-25,3929,3846
2020-4-26,4036,3957
2020-4-27,4148,4049
2020-4-28,4247,4136
2020-4-29,4335,4232
2020-4-30,4434,4317
2020-5-1,4520,4376
2020-5-2,4579,4436
2020-5-3,4641,4516
2020-5-4,4722,4573
2020-5-5,4781,4630
2020-5-6,4839,4714
2020-5-7,4925,4772
2020-5-8,4987,4809
2020-5-9,5036,4853
2020-5-10,5081,4911
2020-5-11,5139,4958
2020-5-12,5188,5001
2020-5-13,5232,5046
2020-5-14,5278,5092
2020-5-15,5325,5124
2020-5-16,5357,5163
2020-5-17,5396,5194
2020-5-18,5427,5237
2020-5-19,5470,5278
2020-5-20,5514,5318
2020-5-21,5555,5349
2020-5-22,5586,5375
2020-5-23,5612,5402
2020-5-24,5640,5440
2020-5-25,5678,5463
2020-5-26,5703,5487
2020-5-27,5727,5511
2020-5-28,5751,5538
2020-5-29,5778,5562
2020-5-30,5802,5578
2020-5-31,5818,5601
2020-6-1,5843,5627
2020-6-2,5869,5641
2020-6-3,5884,5657
2020-6-4,5901,5665
2020-6-5,5909,5672
2020-6-6,5916,5683
2020-6-7,5927,5698
2020-6-8,5942,5707
2020-6-9,5951,5708
2020-6-10,5952,5708
2020-6-11,5985,5738
2020-6-12,5990,5745
2020-6-13,6013,5768
2020-6-14,6016,5771
2020-6-15,6017,5772
2020-6-16,6034,5790
2020-6-17,6036,5792
2020-6-18,6061,5818
2020-6-19,6067,5823
2020-6-20,6087,5843
2020-6-21,6090,5846
2020-6-22,6097,5853
2020-6-23,6109,5864
2020-6-24,6114,5868
2020-6-25,6133,5886
2020-6-26,6134,5888
2020-6-27,6153,5907
2020-6-28,6158,5912
2020-6-29,6161,5915
2020-6-30,6193,5947
2020-7-1,6198,5951
2020-7-2,6212,5966
2020-7-3,6215,5969
2020-7-4,6218,5972
2020-7-5,6218,5972
2020-7-6,6221,5975
2020-7-7,6251,6005
2020-7-8,6262,6015
2020-7-9,6271,6024
2020-7-10,6285,6039
2020-7-11,6313,6067
2020-7-12,6314,6068
2020-7-13,6321,6075
2020-7-14,6326,6081
2020-7-15,6330,6085
2020-7-16,6348,6101
2020-7-17,6355,6108
2020-7-18,6364,6117
2020-7-19,6366,6119
2020-7-20,6373,6126
2020-7-21,6382,6135
2020-7-22,6388,6141
2020-7-23,6395,6148
2020-7-24,6400,6151
2020-7-25,6400,6151
2020-7-26,6400,6149
2020-7-27,6405,6154
2020-7-28,6421,6170
2020-7-29,6422,6172
2020-7-30,6443,6191
2020-7-31,6450,6199
2020-8-1,6457,6206
2020-8-2,6457,6206
2020-8-3,6463,6212
2020-8-4,6471,6219
2020-8-5,6478,6221
2020-8-6,6506,6247
2020-8-7,6524,6247
2020-8-8,6520,6250
2020-8-9,6519,6249
2020-8-10,6526,6257
2020-8-11,6533,6264
2020-8-12,6539,6273
2020-8-13,6555,6289
2020-8-14,6566,6300
2020-8-15,6586,6318
2020-8-16,6592,6324
2020-8-17,6592,6325
2020-8-18,6608,6340
2020-8-19,6618,6349
