Date,NJDATA.Death,NJDATA.DeathConfirmed
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,1,1
2020-3-12,1,1
2020-3-13,1,1
2020-3-14,1,1
2020-3-15,2,2
2020-3-16,2,2
2020-3-17,4,3
2020-3-18,7,5
2020-3-19,13,9
2020-3-20,16,11
2020-3-21,22,16
2020-3-22,29,20
2020-3-23,40,27
2020-3-24,60,44
2020-3-25,81,62
2020-3-26,108,81
2020-3-27,140,108
2020-3-28,191,140
2020-3-29,217,161
2020-3-30,266,198
2020-3-31,364,267
2020-4-1,475,355
2020-4-2,680,537
2020-4-3,816,646
2020-4-4,1058,846
2020-4-5,1184,917
2020-4-6,1334,1003
2020-4-7,1631,1232
2020-4-8,1969,1504
2020-4-9,2236,1700
2020-4-10,2521,1932
2020-4-11,2844,2183
2020-4-12,3084,2350
2020-4-13,3248,2443
2020-4-14,3659,2805
2020-4-15,4068,3156
2020-4-16,4489,3518
2020-4-17,4853,3840
2020-4-18,5139,4070
2020-4-19,5310,4202
2020-4-20,5518,4377
2020-4-21,5932,4753
2020-4-22,6275,5063
2020-4-23,6607,5368
2020-4-24,6886,5617
2020-4-25,7166,5863
2020-4-26,7268,5938
2020-4-27,7407,6044
2020-4-28,7835,6442
2020-4-29,8184,6770
2020-4-30,8664,7228
2020-5-1,9000,7538
2020-5-2,9225,7742
2020-5-3,9380,7871
2020-5-4,9442,7910
2020-5-5,9783,8244
2020-5-6,10104,8549
2020-5-7,10368,8801
2020-5-8,10538,8952
2020-5-9,10715,9116
2020-5-10,10866,9255
2020-5-11,10926,9310
2020-5-12,11138,9508
2020-5-13,11340,9702
2020-5-14,11592,9946
2020-5-15,11789,10138
2020-5-16,11903,10249
2020-5-17,12013,10356
2020-5-18,12096,10435
2020-5-19,12248,10586
2020-5-20,12416,10747
2020-5-21,12518,10843
2020-5-22,12666,10985
2020-5-23,12765,11081
2020-5-24,12819,11133
2020-5-25,12834,11144
2020-5-26,12886,11191
2020-5-27,13037,11339
2020-5-28,13104,11401
2020-5-29,13239,11531
2020-5-30,13345,11634
2020-5-31,13412,11698
2020-6-1,13438,11721
2020-6-2,13490,11770
2020-6-3,13602,11880
2020-6-4,13697,11970
2020-6-5,13779,12049
2020-6-6,13837,12106
2020-6-7,13908,12176
2020-6-8,13947,12214
2020-6-9,14040,12303
2020-6-10,14116,12377
2020-6-11,14183,12443
2020-6-12,14232,12489
2020-6-13,14335,12589
2020-6-14,14372,12625
2020-6-15,14424,12676
2020-6-16,14476,12727
2020-6-17,14518,12769
2020-6-18,14550,12800
2020-6-19,14585,12835
2020-6-20,14608,12857
2020-6-21,14623,12870
2020-6-22,14651,12895
2020-6-23,14707,12949
2020-6-24,14753,12995
2020-6-25,14776,13018
2020-6-26,14819,13060
2020-6-27,14855,13094
2020-6-28,14882,13121
2020-6-29,14901,13138
2020-6-30,14944,13181
2020-7-1,14987,13224
2020-7-2,15014,13251
2020-7-3,15072,13308
2020-7-4,15097,13333
2020-7-5,15119,13355
2020-7-6,15138,13373
2020-7-7,15191,13425
2020-7-8,15243,13476
2020-7-9,15268,13501
2020-7-10,15299,13532
2020-7-11,15345,13578
2020-7-12,15361,13594
2020-7-13,15380,13613
2020-7-14,15402,13635
2020-7-15,15427,13660
2020-7-16,15458,13691
2020-7-17,15477,13710
2020-7-18,15492,13725
2020-7-19,15500,13732
2020-7-20,15510,13741
2020-7-21,15533,13763
2020-7-22,15557,13787
2020-7-23,15581,13810
2020-7-24,15616,13845
2020-7-25,15627,13856
2020-7-26,15639,13867
2020-7-27,15657,13884
2020-7-28,15679,13905
2020-7-29,15697,13923
2020-7-30,15708,13934
2020-7-31,15719,13944
2020-8-1,15731,13955
