Date,NMDATA.Death,NMDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,1,0
2020-3-28,2,0
2020-3-29,2,0
2020-3-30,4,0
2020-3-31,5,0
2020-4-1,6,0
2020-4-2,7,0
2020-4-3,10,0
2020-4-4,11,0
2020-4-5,12,0
2020-4-6,12,0
2020-4-7,13,0
2020-4-8,16,0
2020-4-9,19,0
2020-4-10,19,0
2020-4-11,20,0
2020-4-12,26,0
2020-4-13,31,0
2020-4-14,36,0
2020-4-15,36,0
2020-4-16,44,0
2020-4-17,51,0
2020-4-18,53,0
2020-4-19,55,0
2020-4-20,58,0
2020-4-21,65,0
2020-4-22,71,0
2020-4-23,78,0
2020-4-24,84,0
2020-4-25,93,0
2020-4-26,99,0
2020-4-27,104,0
2020-4-28,110,0
2020-4-29,112,0
2020-4-30,123,0
2020-5-1,131,0
2020-5-2,139,0
2020-5-3,151,0
2020-5-4,156,0
2020-5-5,162,0
2020-5-6,169,0
2020-5-7,172,0
2020-5-8,181,0
2020-5-9,191,0
2020-5-10,200,0
2020-5-11,208,0
2020-5-12,219,0
2020-5-13,231,0
2020-5-14,242,0
2020-5-15,253,0
2020-5-16,259,0
2020-5-17,265,0
2020-5-18,270,0
2020-5-19,276,0
2020-5-20,283,0
2020-5-21,294,0
2020-5-22,302,0
2020-5-23,308,0
2020-5-24,317,0
2020-5-25,320,0
2020-5-26,325,0
2020-5-27,329,0
2020-5-28,335,0
2020-5-29,344,0
2020-5-30,351,0
2020-5-31,356,0
2020-6-1,362,0
2020-6-2,367,0
2020-6-3,375,0
2020-6-4,383,0
2020-6-5,387,0
2020-6-6,392,0
2020-6-7,396,0
2020-6-8,400,0
2020-6-9,404,0
2020-6-10,410,0
2020-6-11,420,0
2020-6-12,426,0
2020-6-13,431,0
2020-6-14,435,0
2020-6-15,440,0
2020-6-16,447,0
2020-6-17,452,0
2020-6-18,456,0
2020-6-19,464,0
2020-6-20,466,0
2020-6-21,469,0
2020-6-22,469,0
2020-6-23,476,0
2020-6-24,480,0
2020-6-25,485,0
2020-6-26,489,0
2020-6-27,491,0
2020-6-28,492,0
2020-6-29,493,0
2020-6-30,497,0
2020-7-1,500,0
2020-7-2,503,0
2020-7-3,511,0
2020-7-4,513,0
2020-7-5,513,0
2020-7-6,515,0
2020-7-7,519,0
2020-7-8,527,0
2020-7-9,533,0
2020-7-10,539,0
2020-7-11,543,0
2020-7-12,545,0
2020-7-13,548,0
2020-7-14,551,0
2020-7-15,557,0
2020-7-16,562,0
2020-7-17,565,0
2020-7-18,569,0
2020-7-19,571,0
2020-7-20,578,0
2020-7-21,588,0
2020-7-22,591,0
2020-7-23,596,0
2020-7-24,601,0
2020-7-25,607,0
2020-7-26,614,0
2020-7-27,619,0
2020-7-28,626,0
2020-7-29,632,0
2020-7-30,635,0
2020-7-31,642,0
2020-8-1,651,0
2020-8-2,654,0
2020-8-3,655,0
2020-8-4,658,0
2020-8-5,667,0
2020-8-6,669,0
2020-8-7,675,0
2020-8-8,681,0
2020-8-9,685,0
2020-8-10,690,0
2020-8-11,693,0
2020-8-12,695,0
2020-8-13,697,0
2020-8-14,703,0
2020-8-15,711,0
2020-8-16,714,0
2020-8-17,718,0
2020-8-18,723,0
2020-8-19,729,0
2020-8-20,734,0
2020-8-21,739,0
2020-8-22,743,0
2020-8-23,745,0
2020-8-24,747,0
2020-8-25,750,0
2020-8-26,755,0
2020-8-27,764,0
2020-8-28,767,0
2020-8-29,769,0
2020-8-30,770,0
2020-8-31,779,0
2020-9-1,787,0
2020-9-2,790,0
2020-9-3,791,0
2020-9-4,794,0
2020-9-5,800,0
2020-9-6,803,0
2020-9-7,807,0
2020-9-8,807,0
2020-9-9,813,0
2020-9-10,816,0
2020-9-11,818,0
2020-9-12,821,0
2020-9-13,823,0
2020-9-14,823,0
2020-9-15,830,0
2020-9-16,832,0
2020-9-17,836,0
2020-9-18,841,0
2020-9-19,847,0
2020-9-20,849,0
2020-9-21,851,0
2020-9-22,854,0
2020-9-23,857,0
2020-9-24,859,0
2020-9-25,865,0
2020-9-26,870,0
2020-9-27,870,0
2020-9-28,873,0
2020-9-29,875,0
2020-9-30,877,0
2020-10-1,882,0
2020-10-2,887,0
2020-10-3,890,0
2020-10-4,892,0
2020-10-5,894,0
2020-10-6,894,0
2020-10-7,896,0
2020-10-8,899,0
2020-10-9,902,0
2020-10-10,907,0
2020-10-11,911,0
2020-10-12,915,0
2020-10-13,918,0
2020-10-14,921,0
2020-10-15,922,0
2020-10-16,928,0
2020-10-17,929,0
2020-10-18,934,0
2020-10-19,935,0
2020-10-20,942,0
2020-10-21,950,0
2020-10-22,953,0
2020-10-23,960,0
2020-10-24,965,0
2020-10-25,967,0
2020-10-26,976,0
2020-10-27,980,0
2020-10-28,991,0
2020-10-29,994,0
2020-10-30,1007,0
2020-10-31,1018,0
2020-11-1,1026,0
2020-11-2,1036,0
2020-11-3,1045,0
2020-11-4,1059,0
2020-11-5,1082,0
2020-11-6,1088,0
2020-11-7,1104,0
2020-11-8,1118,0
2020-11-9,1130,0
2020-11-10,1144,0
2020-11-11,1158,0
2020-11-12,1176,0
2020-11-13,1198,0
2020-11-14,1208,0
2020-11-15,1215,0
2020-11-16,1236,0
2020-11-17,1264,0
2020-11-18,1290,0
2020-11-19,1302,0
2020-11-20,1325,0
2020-11-21,1350,0
2020-11-22,1383,0
2020-11-23,1400,0
2020-11-24,1428,0
2020-11-25,1451,0
2020-11-26,1469,0
2020-11-27,1504,0
2020-11-28,1527,0
2020-11-29,1540,0
2020-11-30,1568,0
2020-12-1,1589,0
2020-12-2,1629,0
2020-12-3,1673,0
2020-12-4,1706,0
2020-12-5,1738,0
2020-12-6,1749,0
2020-12-7,1756,0
2020-12-8,1789,0
2020-12-9,1823,0
2020-12-10,1846,0
2020-12-11,1889,0
2020-12-12,1913,0
2020-12-13,1957,0
2020-12-14,1978,0
2020-12-15,2006,0
2020-12-16,2049,0
2020-12-17,2097,0
2020-12-18,2128,0
2020-12-19,2155,0
2020-12-20,2171,0
2020-12-21,2180,0
2020-12-22,2203,0
2020-12-23,2243,0
2020-12-24,2272,0
2020-12-25,2307,0
2020-12-26,2316,0
2020-12-27,2346,0
