Date,NVDATA.Death,NVDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,2,0
2020-3-19,3,0
2020-3-20,3,0
2020-3-21,5,0
2020-3-22,7,0
2020-3-23,8,0
2020-3-24,13,0
2020-3-25,13,0
2020-3-26,17,0
2020-3-27,21,0
2020-3-28,25,0
2020-3-29,28,0
2020-3-30,32,0
2020-3-31,37,0
2020-4-1,45,0
2020-4-2,51,0
2020-4-3,59,0
2020-4-4,70,0
2020-4-5,76,0
2020-4-6,79,0
2020-4-7,91,0
2020-4-8,101,0
2020-4-9,110,0
2020-4-10,120,0
2020-4-11,125,0
2020-4-12,128,0
2020-4-13,133,0
2020-4-14,141,0
2020-4-15,150,0
2020-4-16,158,0
2020-4-17,162,0
2020-4-18,168,0
2020-4-19,172,0
2020-4-20,180,0
2020-4-21,193,0
2020-4-22,201,0
2020-4-23,210,0
2020-4-24,216,0
2020-4-25,229,0
2020-4-26,235,0
2020-4-27,245,0
2020-4-28,251,0
2020-4-29,257,0
2020-4-30,269,0
2020-5-1,277,0
2020-5-2,281,0
2020-5-3,287,0
2020-5-4,292,0
2020-5-5,297,0
2020-5-6,311,0
2020-5-7,320,0
2020-5-8,328,0
2020-5-9,334,0
2020-5-10,339,0
2020-5-11,344,0
2020-5-12,350,0
2020-5-13,355,0
2020-5-14,358,0
2020-5-15,368,0
2020-5-16,369,0
2020-5-17,375,0
2020-5-18,383,0
2020-5-19,390,0
2020-5-20,393,0
2020-5-21,397,0
2020-5-22,400,0
2020-5-23,404,0
2020-5-24,408,0
2020-5-25,410,0
2020-5-26,412,0
2020-5-27,416,0
2020-5-28,425,0
2020-5-29,435,0
2020-5-30,439,0
2020-5-31,444,0
2020-6-1,445,0
2020-6-2,452,0
2020-6-3,455,0
2020-6-4,460,0
2020-6-5,460,0
2020-6-6,463,0
2020-6-7,465,0
2020-6-8,469,0
2020-6-9,472,0
2020-6-10,474,0
2020-6-11,475,0
2020-6-12,475,0
2020-6-13,478,0
2020-6-14,479,0
2020-6-15,483,0
2020-6-16,485,0
2020-6-17,486,0
2020-6-18,489,0
2020-6-19,491,0
2020-6-20,491,0
2020-6-21,492,0
2020-6-22,492,0
2020-6-23,492,0
2020-6-24,494,0
2020-6-25,495,0
2020-6-26,498,0
2020-6-27,500,0
2020-6-28,500,0
2020-6-29,504,0
2020-6-30,507,0
2020-7-1,511,0
2020-7-2,525,0
2020-7-3,528,0
2020-7-4,530,0
2020-7-5,534,0
2020-7-6,537,0
2020-7-7,548,0
2020-7-8,553,0
2020-7-9,571,0
2020-7-10,579,0
2020-7-11,592,0
2020-7-12,593,0
2020-7-13,593,0
2020-7-14,612,0
2020-7-15,618,0
2020-7-16,626,0
2020-7-17,637,0
2020-7-18,646,0
2020-7-19,647,0
2020-7-20,648,0
2020-7-21,676,0
2020-7-22,704,0
2020-7-23,709,0
2020-7-24,722,0
2020-7-25,732,0
2020-7-26,734,0
2020-7-27,739,0
2020-7-28,759,0
2020-7-29,780,0
2020-7-30,801,0
2020-7-31,830,0
2020-8-1,832,0
2020-8-2,832,0
2020-8-3,847,0
2020-8-4,862,0
2020-8-5,890,0
2020-8-6,900,0
2020-8-7,920,0
2020-8-8,949,0
2020-8-9,957,0
2020-8-10,963,0
2020-8-11,981,0
2020-8-12,996,0
2020-8-13,1030,0
2020-8-14,1045,0
2020-8-15,1069,0
2020-8-16,1072,0
2020-8-17,1077,0
2020-8-18,1102,0
2020-8-19,1134,0
2020-8-20,1172,0
2020-8-21,1185,0
2020-8-22,1197,0
2020-8-23,1197,0
2020-8-24,1200,0
2020-8-25,1230,0
2020-8-26,1250,0
2020-8-27,1271,0
2020-8-28,1287,0
2020-8-29,1302,0
2020-8-30,1302,0
2020-8-31,1305,0
2020-9-1,1313,0
2020-9-2,1336,0
2020-9-3,1363,0
2020-9-4,1375,0
2020-9-5,1388,0
2020-9-6,1389,0
2020-9-7,1393,0
2020-9-8,1393,0
2020-9-9,1412,0
2020-9-10,1429,0
2020-9-11,1439,0
2020-9-12,1449,0
2020-9-13,1452,0
2020-9-14,1456,0
2020-9-15,1482,0
2020-9-16,1494,0
2020-9-17,1506,0
2020-9-18,1524,0
2020-9-19,1528,0
2020-9-20,1531,0
2020-9-21,1531,0
2020-9-22,1546,0
2020-9-23,1556,0
2020-9-24,1564,0
2020-9-25,1573,0
2020-9-26,1582,0
2020-9-27,1585,0
2020-9-28,1585,0
2020-9-29,1593,0
2020-9-30,1600,0
2020-10-1,1603,0
2020-10-2,1609,0
2020-10-3,1620,0
2020-10-4,1623,0
2020-10-5,1623,0
2020-10-6,1629,0
2020-10-7,1636,0
2020-10-8,1649,0
2020-10-9,1657,0
2020-10-10,1659,0
2020-10-11,1661,0
2020-10-12,1664,0
2020-10-13,1674,0
2020-10-14,1691,0
2020-10-15,1698,0
2020-10-16,1707,0
2020-10-17,1707,0
2020-10-18,1710,0
2020-10-19,1712,0
2020-10-20,1727,0
2020-10-21,1732,0
2020-10-22,1736,0
2020-10-23,1738,0
2020-10-24,1743,0
2020-10-25,1748,0
2020-10-26,1749,0
2020-10-27,1756,0
2020-10-28,1766,0
2020-10-29,1769,0
2020-10-30,1777,0
2020-10-31,1777,0
2020-11-1,1781,0
2020-11-2,1784,0
2020-11-3,1807,0
2020-11-4,1814,0
2020-11-5,1824,0
2020-11-6,1845,0
2020-11-7,1850,0
2020-11-8,1851,0
2020-11-9,1852,0
2020-11-10,1859,0
2020-11-11,1877,0
2020-11-12,1880,0
2020-11-13,1893,0
2020-11-14,1908,0
2020-11-15,1909,0
2020-11-16,1917,0
2020-11-17,1944,0
2020-11-18,1947,0
2020-11-19,1953,0
2020-11-20,1982,0
2020-11-21,2011,0
2020-11-22,2017,0
2020-11-23,2023,0
2020-11-24,2047,0
2020-11-25,2071,0
2020-11-26,2093,0
2020-11-27,2095,0
2020-11-28,2119,0
2020-11-29,2136,0
2020-11-30,2144,0
2020-12-1,2166,0
2020-12-2,2201,0
2020-12-3,2249,0
2020-12-4,2272,0
2020-12-5,2301,0
2020-12-6,2315,0
2020-12-7,2319,0
2020-12-8,2359,0
2020-12-9,2384,0
2020-12-10,2434,0
2020-12-11,2479,0
2020-12-12,2520,0
2020-12-13,2539,0
2020-12-14,2548,0
2020-12-15,2596,0
2020-12-16,2653,0
2020-12-17,2673,0
2020-12-18,2708,0
2020-12-19,2751,0
2020-12-20,2781,0
2020-12-21,2787,0
