Date,NYDATA.Death,NYDATA.DeathConfirmed
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,3,0
2020-3-16,7,0
2020-3-17,7,0
2020-3-18,12,0
2020-3-19,12,0
2020-3-20,35,0
2020-3-21,44,0
2020-3-22,114,0
2020-3-23,114,0
2020-3-24,210,0
2020-3-25,285,0
2020-3-26,385,0
2020-3-27,519,0
2020-3-28,728,0
2020-3-29,965,0
2020-3-30,1218,0
2020-3-31,1550,0
2020-4-1,1941,0
2020-4-2,2373,0
2020-4-3,2935,0
2020-4-4,3565,0
2020-4-5,4159,0
2020-4-6,4758,0
2020-4-7,5489,0
2020-4-8,6268,0
2020-4-9,7067,0
2020-4-10,7844,0
2020-4-11,8627,0
2020-4-12,9385,0
2020-4-13,10056,0
2020-4-14,10834,0
2020-4-15,11586,0
2020-4-16,12192,0
2020-4-17,12822,0
2020-4-18,13362,0
2020-4-19,13869,0
2020-4-20,14347,0
2020-4-21,14828,0
2020-4-22,15302,0
2020-4-23,15740,0
2020-4-24,16162,0
2020-4-25,16599,0
2020-4-26,16966,0
2020-4-27,17303,0
2020-4-28,17638,0
2020-4-29,18015,0
2020-4-30,18321,0
2020-5-1,18610,0
2020-5-2,18909,0
2020-5-3,19189,0
2020-5-4,19415,0
2020-5-5,19645,0
2020-5-6,19877,0
2020-5-7,20828,0
2020-5-8,21045,0
2020-5-9,21271,0
2020-5-10,21478,0
2020-5-11,21640,0
2020-5-12,21845,0
2020-5-13,22013,0
2020-5-14,22170,0
2020-5-15,22304,0
2020-5-16,22478,0
2020-5-17,22619,0
2020-5-18,22729,0
2020-5-19,22843,0
2020-5-20,22976,0
2020-5-21,23083,0
2020-5-22,23195,0
2020-5-23,23282,0
2020-5-24,23391,0
2020-5-25,23488,0
2020-5-26,23564,0
2020-5-27,23643,0
2020-5-28,23722,0
2020-5-29,23780,0
2020-5-30,23848,0
2020-5-31,23905,0
2020-6-1,23959,0
2020-6-2,24023,0
2020-6-3,24079,0
2020-6-4,24133,0
2020-6-5,24175,0
2020-6-6,24212,0
2020-6-7,24259,0
2020-6-8,24299,0
2020-6-9,24348,0
2020-6-10,24404,0
2020-6-11,24442,0
2020-6-12,24495,0
2020-6-13,24527,0
2020-6-14,24551,0
2020-6-15,24579,0
2020-6-16,24608,0
2020-6-17,24629,0
2020-6-18,24661,0
2020-6-19,24686,0
2020-6-20,24710,0
2020-6-21,24725,0
2020-6-22,24739,0
2020-6-23,24766,0
2020-6-24,24782,0
2020-6-25,24800,0
2020-6-26,24814,0
2020-6-27,24830,0
2020-6-28,24835,0
2020-6-29,24842,0
2020-6-30,24855,0
2020-7-1,24866,0
2020-7-2,24877,0
2020-7-3,24885,0
2020-7-4,24896,0
2020-7-5,24904,0
2020-7-6,24913,0
2020-7-7,24924,0
2020-7-8,24944,0
2020-7-9,24959,0
2020-7-10,24968,0
2020-7-11,24974,0
2020-7-12,24979,0
2020-7-13,24989,0
2020-7-14,24994,0
2020-7-15,25003,0
2020-7-16,25014,0
2020-7-17,25024,0
2020-7-18,25035,0
2020-7-19,25048,0
2020-7-20,25056,0
2020-7-21,25058,0
2020-7-22,25068,0
2020-7-23,25081,0
2020-7-24,25090,0
2020-7-25,25103,0
2020-7-26,25106,0
2020-7-27,25117,0
2020-7-28,25126,0
2020-7-29,25132,0
2020-7-30,25145,0
2020-7-31,25150,0
2020-8-1,25164,0
2020-8-2,25170,0
2020-8-3,25172,0
2020-8-4,25175,0
2020-8-5,25179,0
2020-8-6,25185,0
2020-8-7,25190,0
2020-8-8,25195,0
2020-8-9,25202,0
2020-8-10,25204,0
2020-8-11,25211,0
2020-8-12,25218,0
2020-8-13,25228,0
2020-8-14,25232,0
2020-8-15,25244,0
2020-8-16,25250,0
2020-8-17,25256,0
2020-8-18,25264,0
2020-8-19,25270,0
2020-8-20,25275,0
2020-8-21,25278,0
2020-8-22,25282,0
2020-8-23,25288,0
2020-8-24,25295,0
2020-8-25,25297,0
2020-8-26,25305,0
2020-8-27,25309,0
2020-8-28,25312,0
2020-8-29,25319,0
2020-8-30,25327,0
2020-8-31,25328,0
2020-9-1,25331,0
2020-9-2,25336,0
2020-9-3,25343,0
2020-9-4,25348,0
2020-9-5,25350,0
2020-9-6,25359,0
2020-9-7,25361,0
2020-9-8,25367,0
2020-9-9,25370,0
2020-9-10,25377,0
2020-9-11,25382,0
2020-9-12,25384,0
2020-9-13,25390,0
2020-9-14,25394,0
2020-9-15,25405,0
2020-9-16,25410,0
2020-9-17,25413,0
2020-9-18,25423,0
2020-9-19,25425,0
2020-9-20,25427,0
2020-9-21,25428,0
2020-9-22,25432,0
2020-9-23,25437,0
2020-9-24,25439,0
2020-9-25,25446,0
2020-9-26,25450,0
2020-9-27,25456,0
2020-9-28,25468,0
2020-9-29,25470,0
2020-9-30,25479,0
2020-10-1,25490,0
2020-10-2,25497,0
2020-10-3,25505,0
2020-10-4,25519,0
2020-10-5,25527,0
2020-10-6,25536,0
2020-10-7,25545,0
2020-10-8,25555,0
2020-10-9,25561,0
2020-10-10,25569,0
2020-10-11,25574,0
2020-10-12,25587,0
2020-10-13,25598,0
2020-10-14,25605,0
2020-10-15,25618,0
2020-10-16,25628,0
2020-10-17,25637,0
2020-10-18,25644,0
2020-10-19,25659,0
2020-10-20,25672,0
2020-10-21,25679,0
2020-10-22,25694,0
2020-10-23,25705,0
2020-10-24,25718,0
2020-10-25,25730,0
2020-10-26,25742,0
2020-10-27,25758,0
2020-10-28,25773,0
2020-10-29,25792,0
2020-10-30,25804,0
2020-10-31,25807,0
2020-11-1,25824,0
2020-11-2,25838,0
2020-11-3,25853,0
2020-11-4,25868,0
2020-11-5,25892,0
2020-11-6,25910,0
2020-11-7,25928,0
2020-11-8,25947,0
2020-11-9,25973,0
2020-11-10,26005,0
2020-11-11,26026,0
2020-11-12,26055,0
2020-11-13,26079,0
2020-11-14,26103,0
2020-11-15,26133,0
2020-11-16,26159,0
2020-11-17,26189,0
2020-11-18,26225,0
2020-11-19,26257,0
2020-11-20,26292,0
2020-11-21,26326,0
2020-11-22,26357,0
2020-11-23,26390,0
2020-11-24,26441,0
2020-11-25,26482,0
2020-11-26,26549,0
2020-11-27,26588,0
2020-11-28,26632,0
2020-11-29,26690,0
2020-11-30,26747,0
2020-12-1,26816,0
2020-12-2,26889,0
2020-12-3,26955,0
2020-12-4,27017,0
2020-12-5,27089,0
2020-12-6,27149,0
2020-12-7,27232,0
2020-12-8,27307,0
2020-12-9,27404,0
2020-12-10,27498,0
2020-12-11,27587,0
2020-12-12,27675,0
2020-12-13,27785,0
2020-12-14,27870,0
2020-12-15,28002,0
2020-12-16,28100,0
2020-12-17,28222,0
2020-12-18,28344,0
2020-12-19,28474,0
2020-12-20,28598,0
2020-12-21,28709,0
2020-12-22,28850,0
2020-12-23,29016,0
2020-12-24,29149,0
2020-12-25,29270,0
2020-12-26,29396,0
2020-12-27,29511,0
2020-12-28,29629,0
2020-12-29,29756,0
2020-12-30,29905,0
2020-12-31,30040,0
2021-1-1,30208,0
2021-1-2,30337,0
2021-1-3,30476,0
2021-1-4,30648,0
2021-1-5,30802,0
2021-1-6,30965,0
2021-1-7,31164,0
2021-1-8,31329,0
2021-1-9,31519,0
2021-1-10,31672,0
2021-1-11,31841,0
2021-1-12,32007,0
2021-1-13,32175,0
2021-1-14,32379,0
2021-1-15,32566,0
2021-1-16,32725,0
2021-1-17,32897,0
2021-1-18,33052,0
2021-1-19,33224,0
2021-1-20,33415,0
2021-1-21,33594,0
2021-1-22,33763,0
2021-1-23,33907,0
2021-1-24,34069,0
2021-1-25,34242,0
2021-1-26,34407,0
2021-1-27,34579,0
2021-1-28,34742,0
2021-1-29,34893,0
2021-1-30,35036,0
2021-1-31,35178,0
2021-2-1,35319,0
2021-2-2,35466,0
2021-2-3,35631,0
2021-2-4,35767,0
2021-2-5,35920,0
2021-2-6,36079,0
2021-2-7,36224,0
2021-2-8,36339,0
2021-2-9,36481,0
2021-2-10,36619,0
2021-2-11,36743,0
2021-2-12,36882,0
