Date,OHDATA.Death,OHDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,1,0
2020-3-21,3,0
2020-3-22,3,0
2020-3-23,6,0
2020-3-24,8,0
2020-3-25,10,0
2020-3-26,15,0
2020-3-27,19,0
2020-3-28,25,0
2020-3-29,29,0
2020-3-30,39,0
2020-3-31,55,0
2020-4-1,65,0
2020-4-2,81,0
2020-4-3,91,0
2020-4-4,102,0
2020-4-5,119,0
2020-4-6,142,0
2020-4-7,167,0
2020-4-8,193,0
2020-4-9,213,0
2020-4-10,231,227
2020-4-11,247,242
2020-4-12,253,248
2020-4-13,274,268
2020-4-14,324,309
2020-4-15,361,346
2020-4-16,389,373
2020-4-17,418,401
2020-4-18,451,434
2020-4-19,471,453
2020-4-20,509,491
2020-4-21,557,538
2020-4-22,610,584
2020-4-23,656,618
2020-4-24,690,649
2020-4-25,711,671
2020-4-26,728,687
2020-4-27,753,712
2020-4-28,799,757
2020-4-29,937,856
2020-4-30,975,898
2020-5-1,1002,922
2020-5-2,1021,940
2020-5-3,1038,957
2020-5-4,1056,975
2020-5-5,1135,1038
2020-5-6,1225,1114
2020-5-7,1271,1153
2020-5-8,1306,1185
2020-5-9,1331,1214
2020-5-10,1341,1220
2020-5-11,1357,1236
2020-5-12,1436,1303
2020-5-13,1483,1347
2020-5-14,1534,1388
2020-5-15,1581,1431
2020-5-16,1610,1457
2020-5-17,1625,1472
2020-5-18,1657,1504
2020-5-19,1720,1556
2020-5-20,1781,1603
2020-5-21,1836,1653
2020-5-22,1872,1691
2020-5-23,1956,1756
2020-5-24,1969,1769
2020-5-25,1987,1788
2020-5-26,2002,1803
2020-5-27,2044,1842
2020-5-28,2098,1888
2020-5-29,2131,1921
2020-5-30,2149,1938
2020-5-31,2155,1944
2020-6-1,2206,1993
2020-6-2,2258,2041
2020-6-3,2299,2080
2020-6-4,2339,2117
2020-6-5,2355,2135
2020-6-6,2370,2148
2020-6-7,2377,2155
2020-6-8,2404,2177
2020-6-9,2421,2196
2020-6-10,2457,2231
2020-6-11,2490,2263
2020-6-12,2508,2280
2020-6-13,2554,2324
2020-6-14,2557,2327
2020-6-15,2573,2342
2020-6-16,2597,2362
2020-6-17,2611,2377
2020-6-18,2633,2401
2020-6-19,2667,2430
2020-6-20,2697,2460
2020-6-21,2700,2463
2020-6-22,2704,2467
2020-6-23,2735,2497
2020-6-24,2755,2516
2020-6-25,2772,2530
2020-6-26,2788,2545
2020-6-27,2804,2561
2020-6-28,2807,2564
2020-6-29,2818,2575
2020-6-30,2863,2615
2020-7-1,2876,2626
2020-7-2,2903,2653
2020-7-3,2903,2653
2020-7-4,2907,2657
2020-7-5,2911,2661
2020-7-6,2927,2677
2020-7-7,2970,2718
2020-7-8,2991,2737
2020-7-9,3006,2749
2020-7-10,3032,2776
2020-7-11,3036,2780
2020-7-12,3058,2801
2020-7-13,3064,2807
2020-7-14,3069,2813
2020-7-15,3075,2819
2020-7-16,3103,2849
2020-7-17,3112,2858
2020-7-18,3132,2875
2020-7-19,3174,2916
2020-7-20,3189,2931
2020-7-21,3219,2959
2020-7-22,3235,2976
2020-7-23,3256,2997
2020-7-24,3297,3039
2020-7-25,3297,3039
2020-7-26,3307,3049
2020-7-27,3344,3082
2020-7-28,3382,3118
2020-7-29,3422,3156
2020-7-30,3442,3177
2020-7-31,3489,3222
2020-8-1,3515,3246
2020-8-2,3529,3261
2020-8-3,3539,3271
2020-8-4,3570,3301
2020-8-5,3596,3326
2020-8-6,3618,3348
2020-8-7,3652,3381
2020-8-8,3668,3396
2020-8-9,3669,3397
2020-8-10,3673,3405
2020-8-11,3708,3435
2020-8-12,3734,3460
2020-8-13,3755,3481
2020-8-14,3784,3510
2020-8-15,3824,3546
2020-8-16,3826,3548
2020-8-17,3832,3554
2020-8-18,3871,3592
2020-8-19,3907,3627
2020-8-20,3929,3650
2020-8-21,3955,3675
2020-8-22,3975,3694
2020-8-23,3978,3697
2020-8-24,3986,3705
2020-8-25,3996,3716
2020-8-26,4044,3761
2020-8-27,4076,3791
2020-8-28,4105,3819
2020-8-29,4126,3842
2020-8-30,4128,3844
2020-8-31,4138,3854
2020-9-1,4165,3879
2020-9-2,4176,3890
2020-9-3,4226,3939
2020-9-4,4248,3962
2020-9-5,4256,3969
2020-9-6,4259,3972
2020-9-7,4276,3987
2020-9-8,4298,4009
2020-9-9,4324,4034
2020-9-10,4354,4064
2020-9-11,4403,4110
2020-9-12,4411,4118
2020-9-13,4415,4122
2020-9-14,4419,4126
2020-9-15,4506,4207
2020-9-16,4555,4256
2020-9-17,4580,4282
2020-9-18,4608,4312
2020-9-19,4612,4316
2020-9-20,4615,4318
2020-9-21,4623,4325
2020-9-22,4635,4338
2020-9-23,4687,4387
2020-9-24,4715,4414
2020-9-25,4734,4433
2020-9-26,4740,4439
2020-9-27,4741,4440
2020-9-28,4746,4444
2020-9-29,4783,4480
2020-9-30,4804,4501
2020-10-1,4817,4514
2020-10-2,4905,4597
2020-10-3,4925,4617
2020-10-4,4925,4617
2020-10-5,4931,4622
2020-10-6,4947,4638
2020-10-7,4970,4661
2020-10-8,4983,4674
2020-10-9,4994,4686
2020-10-10,4997,4689
2020-10-11,4999,4691
2020-10-12,5005,4697
2020-10-13,5017,4709
2020-10-14,5033,4725
2020-10-15,5038,4730
2020-10-16,5054,4746
2020-10-17,5067,4759
2020-10-18,5067,4759
2020-10-19,5075,4767
2020-10-20,5083,4775
2020-10-21,5149,4839
2020-10-22,5161,4850
2020-10-23,5184,4874
2020-10-24,5206,4896
2020-10-25,5206,4896
2020-10-26,5217,4907
2020-10-27,5239,4927
2020-10-28,5256,4944
2020-10-29,5275,4963
2020-10-30,5291,4979
2020-10-31,5301,4988
2020-11-1,5303,4990
2020-11-2,5340,5026
2020-11-3,5373,5049
2020-11-4,5428,5102
2020-11-5,5461,5133
2020-11-6,5494,5165
2020-11-7,5506,5177
2020-11-8,5517,5186
2020-11-9,5524,5193
2020-11-10,5547,5212
2020-11-11,5623,5285
2020-11-12,5658,5316
2020-11-13,5700,5354
2020-11-14,5714,5367
2020-11-15,5722,5373
2020-11-16,5742,5387
2020-11-17,5772,5412
2020-11-18,5827,5462
2020-11-19,5890,5522
2020-11-20,5955,5578
2020-11-21,5984,5602
2020-11-22,5996,5612
2020-11-23,6020,5635
2020-11-24,6118,5728
2020-11-25,6274,5869
