Date,OKDATA.Death,OKDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,1,0
2020-3-22,2,0
2020-3-23,2,0
2020-3-24,3,0
2020-3-25,5,0
2020-3-26,7,0
2020-3-27,8,0
2020-3-28,15,0
2020-3-29,16,0
2020-3-30,17,0
2020-3-31,23,0
2020-4-1,30,0
2020-4-2,34,0
2020-4-3,38,0
2020-4-4,42,0
2020-4-5,46,0
2020-4-6,51,0
2020-4-7,67,0
2020-4-8,79,0
2020-4-9,80,0
2020-4-10,88,0
2020-4-11,94,0
2020-4-12,96,0
2020-4-13,99,0
2020-4-14,108,0
2020-4-15,123,0
2020-4-16,131,0
2020-4-17,136,0
2020-4-18,139,0
2020-4-19,140,0
2020-4-20,143,0
2020-4-21,164,0
2020-4-22,170,0
2020-4-23,179,0
2020-4-24,188,0
2020-4-25,194,0
2020-4-26,195,0
2020-4-27,197,0
2020-4-28,207,0
2020-4-29,214,0
2020-4-30,222,0
2020-5-1,230,0
2020-5-2,238,0
2020-5-3,238,0
2020-5-4,238,0
2020-5-5,247,0
2020-5-6,253,0
2020-5-7,260,0
2020-5-8,266,0
2020-5-9,270,0
2020-5-10,272,0
2020-5-11,274,0
2020-5-12,278,0
2020-5-13,278,0
2020-5-14,284,0
2020-5-15,285,0
2020-5-16,288,0
2020-5-17,288,0
2020-5-18,288,0
2020-5-19,294,0
2020-5-20,299,0
2020-5-21,304,0
2020-5-22,307,0
2020-5-23,311,0
2020-5-24,311,0
2020-5-25,313,0
2020-5-26,318,0
2020-5-27,322,0
2020-5-28,326,0
2020-5-29,329,0
2020-5-30,334,0
2020-5-31,334,0
2020-6-1,334,0
2020-6-2,339,0
2020-6-3,341,0
2020-6-4,344,0
2020-6-5,344,0
2020-6-6,345,0
2020-6-7,348,0
2020-6-8,348,0
2020-6-9,353,0
2020-6-10,355,0
2020-6-11,357,0
2020-6-12,359,0
2020-6-13,359,0
2020-6-14,359,0
2020-6-15,359,0
2020-6-16,363,0
2020-6-17,364,0
2020-6-18,366,0
2020-6-19,367,0
2020-6-20,368,0
2020-6-21,369,0
2020-6-22,369,0
2020-6-23,371,0
2020-6-24,372,0
2020-6-25,375,0
2020-6-26,377,0
2020-6-27,384,0
2020-6-28,385,0
2020-6-29,385,0
2020-6-30,387,0
2020-7-1,389,0
2020-7-2,395,0
2020-7-3,398,0
2020-7-4,398,0
2020-7-5,398,0
2020-7-6,399,0
2020-7-7,404,0
2020-7-8,407,0
2020-7-9,410,0
2020-7-10,416,0
2020-7-11,421,0
2020-7-12,422,0
2020-7-13,424,0
2020-7-14,428,0
2020-7-15,432,0
2020-7-16,438,0
2020-7-17,445,0
2020-7-18,451,0
2020-7-19,451,0
2020-7-20,452,0
2020-7-21,461,0
2020-7-22,474,0
2020-7-23,477,0
2020-7-24,484,0
2020-7-25,496,0
2020-7-26,496,0
2020-7-27,496,0
2020-7-28,509,0
2020-7-29,523,0
2020-7-30,536,0
2020-7-31,541,0
2020-8-1,549,0
2020-8-2,550,0
2020-8-3,551,0
2020-8-4,566,0
2020-8-5,583,0
2020-8-6,593,0
2020-8-7,600,0
2020-8-8,603,0
2020-8-9,603,0
2020-8-10,605,0
2020-8-11,618,0
2020-8-12,627,0
2020-8-13,638,0
2020-8-14,644,0
2020-8-15,657,0
2020-8-16,661,0
2020-8-17,665,0
2020-8-18,682,0
2020-8-19,699,0
2020-8-20,709,0
2020-8-21,715,0
2020-8-22,725,0
2020-8-23,726,0
2020-8-24,730,0
2020-8-25,744,0
2020-8-26,763,0
2020-8-27,778,0
2020-8-28,786,0
2020-8-29,797,0
2020-8-30,799,0
2020-8-31,800,0
2020-9-1,809,0
2020-9-2,821,0
2020-9-3,835,0
2020-9-4,846,0
2020-9-5,850,0
2020-9-6,853,0
2020-9-7,853,0
2020-9-8,854,0
2020-9-9,863,0
2020-9-10,876,0
2020-9-11,888,0
2020-9-12,899,0
2020-9-13,905,0
2020-9-14,905,0
2020-9-15,912,0
2020-9-16,924,0
2020-9-17,930,0
2020-9-18,939,0
2020-9-19,943,0
2020-9-20,946,0
2020-9-21,948,0
2020-9-22,962,0
2020-9-23,970,0
2020-9-24,981,0
2020-9-25,993,0
2020-9-26,1004,0
2020-9-27,1004,0
2020-9-28,1007,0
2020-9-29,1018,0
2020-9-30,1031,0
2020-10-1,1035,0
2020-10-2,1044,0
2020-10-3,1051,0
2020-10-4,1052,0
2020-10-5,1055,0
2020-10-6,1066,0
2020-10-7,1075,0
2020-10-8,1085,0
2020-10-9,1091,0
2020-10-10,1095,0
2020-10-11,1098,0
2020-10-12,1104,0
2020-10-13,1119,0
2020-10-14,1132,0
2020-10-15,1143,0
2020-10-16,1154,0
2020-10-17,1168,0
2020-10-18,1171,0
2020-10-19,1173,0
2020-10-20,1191,0
2020-10-21,1210,0
2020-10-22,1221,0
2020-10-23,1234,0
2020-10-24,1245,0
2020-10-25,1249,0
2020-10-26,1251,0
2020-10-27,1273,0
2020-10-28,1286,0
2020-10-29,1306,0
2020-10-30,1326,0
2020-10-31,1337,0
2020-11-1,1345,0
2020-11-2,1354,0
2020-11-3,1375,0
2020-11-4,1392,0
2020-11-5,1413,0
2020-11-6,1429,0
2020-11-7,1429,0
2020-11-8,1438,0
2020-11-9,1444,0
2020-11-10,1451,0
2020-11-11,1470,0
2020-11-12,1481,0
2020-11-13,1493,0
2020-11-14,1516,0
2020-11-15,1528,0
2020-11-16,1538,0
2020-11-17,1544,0
2020-11-18,1570,0
2020-11-19,1588,0
2020-11-20,1603,0
2020-11-21,1624,0
2020-11-22,1634,0
2020-11-23,1649,0
2020-11-24,1664,0
2020-11-25,1680,0
2020-11-26,1680,0
2020-11-27,1704,0
2020-11-28,1717,0
2020-11-29,1736,0
2020-11-30,1743,0
2020-12-1,1758,0
2020-12-2,1812,0
2020-12-3,1836,0
2020-12-4,1860,0
2020-12-5,1874,0
2020-12-6,1896,0
2020-12-7,1911,0
2020-12-8,1922,0
2020-12-9,1945,0
2020-12-10,1980,0
2020-12-11,2007,0
2020-12-12,2042,0
2020-12-13,2064,0
2020-12-14,2072,0
2020-12-15,2086,0
2020-12-16,2128,0
2020-12-17,2144,0
2020-12-18,2161,0
2020-12-19,2189,0
2020-12-20,2212,0
2020-12-21,2218,0
2020-12-22,2240,0
2020-12-23,2283,0
2020-12-24,2328,0
2020-12-25,2328,0
2020-12-26,2357,0
2020-12-27,2370,0
2020-12-28,2383,0
2020-12-29,2405,0
2020-12-30,2453,0
2020-12-31,2489,0
2021-1-1,2489,0
2021-1-2,2527,0
2021-1-3,2547,0
2021-1-4,2552,0
2021-1-5,2571,0
2021-1-6,2633,0
2021-1-7,2672,0
2021-1-8,2703,0
2021-1-9,2738,0
2021-1-10,2761,0
2021-1-11,2775,0
2021-1-12,2804,0
2021-1-13,2848,0
2021-1-14,2882,0
2021-1-15,2925,0
2021-1-16,2952,0
2021-1-17,2987,0
2021-1-18,2994,0
2021-1-19,3037,0
2021-1-20,3085,0
2021-1-21,3140,0
2021-1-22,3187,0
2021-1-23,3231,0
2021-1-24,3279,0
2021-1-25,3293,0
2021-1-26,3323,0
2021-1-27,3388,0
2021-1-28,3423,0
2021-1-29,3471,0
2021-1-30,3504,0
2021-1-31,3547,0
2021-2-1,3564,0
2021-2-2,3602,0
2021-2-3,3654,0
2021-2-4,3681,0
2021-2-5,3710,0
2021-2-6,3761,0
2021-2-7,3813,0
2021-2-8,3817,0
2021-2-9,3870,0
2021-2-10,3900,0
2021-2-11,3948,0
2021-2-12,3959,0
