Date,TXDATA.Death,TXDATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,1,0
2020-3-18,2,0
2020-3-19,3,0
2020-3-20,5,0
2020-3-21,5,0
2020-3-22,5,0
2020-3-23,8,0
2020-3-24,9,0
2020-3-25,12,0
2020-3-26,18,0
2020-3-27,23,0
2020-3-28,27,0
2020-3-29,34,0
2020-3-30,34,0
2020-3-31,41,0
2020-4-1,58,0
2020-4-2,70,0
2020-4-3,90,0
2020-4-4,105,0
2020-4-5,127,0
2020-4-6,140,0
2020-4-7,154,0
2020-4-8,177,0
2020-4-9,199,0
2020-4-10,226,0
2020-4-11,254,0
2020-4-12,271,0
2020-4-13,287,0
2020-4-14,318,0
2020-4-15,364,0
2020-4-16,393,0
2020-4-17,428,0
2020-4-18,453,0
2020-4-19,477,0
2020-4-20,495,0
2020-4-21,517,0
2020-4-22,543,0
2020-4-23,561,0
2020-4-24,593,0
2020-4-25,623,0
2020-4-26,648,0
2020-4-27,663,0
2020-4-28,690,0
2020-4-29,732,0
2020-4-30,782,0
2020-5-1,816,0
2020-5-2,847,0
2020-5-3,867,0
2020-5-4,884,414
2020-5-5,906,433
2020-5-6,948,443
2020-5-7,973,449
2020-5-8,1004,453
2020-5-9,1049,470
2020-5-10,1088,481
2020-5-11,1100,483
2020-5-12,1133,0
2020-5-13,1158,0
2020-5-14,1216,0
2020-5-15,1272,0
2020-5-16,1305,0
2020-5-17,1336,0
2020-5-18,1347,0
2020-5-19,1369,0
2020-5-20,1419,0
2020-5-21,1440,0
2020-5-22,1480,0
2020-5-23,1506,0
2020-5-24,1506,0
2020-5-25,1527,0
2020-5-26,1536,0
2020-5-27,1562,0
2020-5-28,1601,0
2020-5-29,1626,0
2020-5-30,1626,0
2020-5-31,1672,0
2020-6-1,1678,0
2020-6-2,1698,0
2020-6-3,1734,0
2020-6-4,1767,0
2020-6-5,1788,0
2020-6-6,1819,0
2020-6-7,1830,0
2020-6-8,1830,0
2020-6-9,1853,0
2020-6-10,1885,0
2020-6-11,1920,0
2020-6-12,1939,0
2020-6-13,1957,0
2020-6-14,1976,0
2020-6-15,1983,0
2020-6-16,2029,0
2020-6-17,2062,0
2020-6-18,2105,0
2020-6-19,2140,0
2020-6-20,2165,0
2020-6-21,2182,0
2020-6-22,2192,0
2020-6-23,2220,0
2020-6-24,2249,0
2020-6-25,2296,0
2020-6-26,2324,0
2020-6-27,2366,0
2020-6-28,2393,0
2020-6-29,2403,0
2020-6-30,2424,0
2020-7-1,2481,0
2020-7-2,2525,0
2020-7-3,2575,0
2020-7-4,2608,0
2020-7-5,2637,0
2020-7-6,2655,0
2020-7-7,2715,0
2020-7-8,2813,0
2020-7-9,2918,0
2020-7-10,3013,0
2020-7-11,3112,0
2020-7-12,3192,0
2020-7-13,3235,0
2020-7-14,3322,0
2020-7-15,3432,0
2020-7-16,3561,0
2020-7-17,3735,0
2020-7-18,3865,0
2020-7-19,3958,0
2020-7-20,4020,0
2020-7-21,4151,0
2020-7-22,4348,0
2020-7-23,4521,0
2020-7-24,4717,0
2020-7-25,4885,0
2020-7-26,5038,0
2020-7-27,5713,0
2020-7-28,5877,0
2020-7-29,6190,0
2020-7-30,6274,0
2020-7-31,6569,0
2020-8-1,6837,0
2020-8-2,6837,0
2020-8-3,7016,0
2020-8-4,7261,0
2020-8-5,7497,0
2020-8-6,7803,0
2020-8-7,8096,0
2020-8-8,8343,0
2020-8-9,8459,0
2020-8-10,8490,0
2020-8-11,8710,0
2020-8-12,9034,0
2020-8-13,9289,0
2020-8-14,9602,0
2020-8-15,9840,0
2020-8-16,9983,0
2020-8-17,10034,0
2020-8-18,10250,0
2020-8-19,10559,0
2020-8-20,10793,0
2020-8-21,11051,0
2020-8-22,11266,0
2020-8-23,11370,0
2020-8-24,11395,0
2020-8-25,11576,0
2020-8-26,11805,0
2020-8-27,12070,0
2020-8-28,12266,0
2020-8-29,12420,0
2020-8-30,12510,0
2020-8-31,12536,0
2020-9-1,12681,0
2020-9-2,12870,0
2020-9-3,13091,0
2020-9-4,13231,0
2020-9-5,13408,0
2020-9-6,13472,0
2020-9-7,13492,0
2020-9-8,13553,0
2020-9-9,13692,0
2020-9-10,13853,0
2020-9-11,13997,0
2020-9-12,14143,0
2020-9-13,14190,0
2020-9-14,14211,0
2020-9-15,14343,0
2020-9-16,14478,0
2020-9-17,14590,0
2020-9-18,14713,0
2020-9-19,14848,0
2020-9-20,14893,0
2020-9-21,14917,0
2020-9-22,14994,0
2020-9-23,15129,0
2020-9-24,15267,0
2020-9-25,15364,0
2020-9-26,15485,0
2020-9-27,15522,0
2020-9-28,15533,0
2020-9-29,15604,0
2020-9-30,15711,0
2020-10-1,15823,0
2020-10-2,15895,0
2020-10-3,15992,0
2020-10-4,16025,0
2020-10-5,16033,0
2020-10-6,16111,0
2020-10-7,16230,0
2020-10-8,16334,0
2020-10-9,16432,0
2020-10-10,16526,0
2020-10-11,16557,0
2020-10-12,16558,0
2020-10-13,16622,0
2020-10-14,16717,0
2020-10-15,16812,0
2020-10-16,16903,0
2020-10-17,16984,0
2020-10-18,17014,0
2020-10-19,17022,0
2020-10-20,17087,0
2020-10-21,17201,0
2020-10-22,17286,0
2020-10-23,17375,0
2020-10-24,17456,0
2020-10-25,17504,0
2020-10-26,17514,0
2020-10-27,17595,0
2020-10-28,17700,0
2020-10-29,17819,0
2020-10-30,17934,0
2020-10-31,18024,0
2020-11-1,18077,0
2020-11-2,18097,0
2020-11-3,18194,0
2020-11-4,18320,0
2020-11-5,18453,0
2020-11-6,18589,0
2020-11-7,18700,0
2020-11-8,18743,0
2020-11-9,18769,0
2020-11-10,18863,0
2020-11-11,19004,0
2020-11-12,19147,0
2020-11-13,19320,0
2020-11-14,19470,0
2020-11-15,19559,0
2020-11-16,19579,0
2020-11-17,19696,0
2020-11-18,19883,0
2020-11-19,20113,0
2020-11-20,20296,0
2020-11-21,20467,0
2020-11-22,20556,0
2020-11-23,20588,0
2020-11-24,20750,0
2020-11-25,20950,0
2020-11-26,21156,0
2020-11-27,21207,0
2020-11-28,21309,0
2020-11-29,21357,0
2020-11-30,21379,0
2020-12-1,21549,0
2020-12-2,21756,0
2020-12-3,22000,0
2020-12-4,22255,0
2020-12-5,22502,0
2020-12-6,22594,0
2020-12-7,22627,0
2020-12-8,22808,0
2020-12-9,23081,0
2020-12-10,23325,0
2020-12-11,23551,0
2020-12-12,23800,0
2020-12-13,23911,0
2020-12-14,23937,0
2020-12-15,24142,0
2020-12-16,24394,0
2020-12-17,24660,0
2020-12-18,24954,0
2020-12-19,25226,0
2020-12-20,25348,0
2020-12-21,25415,0
2020-12-22,25606,0
2020-12-23,25900,0
2020-12-24,26208,0
2020-12-25,26408,0
2020-12-26,26421,0
2020-12-27,26472,0
2020-12-28,26521,0
2020-12-29,26762,0
2020-12-30,27088,0
2020-12-31,27437,0
2021-1-1,27771,0
2021-1-2,27867,0
2021-1-3,27917,0
2021-1-4,27969,0
2021-1-5,28219,0
2021-1-6,28545,0
2021-1-7,28938,0
2021-1-8,29310,0
2021-1-9,29691,0
2021-1-10,29877,0
2021-1-11,29933,0
2021-1-12,30219,0
2021-1-13,30624,0
2021-1-14,31050,0
2021-1-15,31450,0
2021-1-16,31831,0
2021-1-17,32038,0
2021-1-18,32084,0
2021-1-19,32394,0
2021-1-20,32844,0
2021-1-21,33285,0
2021-1-22,33707,0
2021-1-23,34114,0
2021-1-24,34322,0
2021-1-25,34394,0
2021-1-26,34701,0
2021-1-27,35168,0
2021-1-28,35639,0
2021-1-29,35988,0
2021-1-30,36320,0
2021-1-31,36491,0
2021-2-1,36539,0
2021-2-2,36870,0
2021-2-3,37288,0
2021-2-4,37727,0
2021-2-5,38128,0
2021-2-6,38476,0
2021-2-7,38643,0
2021-2-8,38700,0
2021-2-9,39001,0
2021-2-10,39386,0
2021-2-11,39771,0
2021-2-12,40095,0
