Date,WIDATA.Death,WIDATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,3,0
2020-3-21,4,0
2020-3-22,4,0
2020-3-23,5,0
2020-3-24,5,0
2020-3-25,7,0
2020-3-26,8,0
2020-3-27,13,0
2020-3-28,13,0
2020-3-29,13,0
2020-3-30,14,0
2020-3-31,16,0
2020-4-1,24,0
2020-4-2,31,0
2020-4-3,37,0
2020-4-4,56,0
2020-4-5,68,0
2020-4-6,77,0
2020-4-7,92,0
2020-4-8,99,0
2020-4-9,111,0
2020-4-10,128,0
2020-4-11,137,0
2020-4-12,144,0
2020-4-13,154,0
2020-4-14,170,0
2020-4-15,182,0
2020-4-16,197,0
2020-4-17,205,0
2020-4-18,211,0
2020-4-19,220,0
2020-4-20,230,0
2020-4-21,242,0
2020-4-22,246,0
2020-4-23,257,0
2020-4-24,262,0
2020-4-25,266,0
2020-4-26,272,0
2020-4-27,281,0
2020-4-28,300,0
2020-4-29,308,0
2020-4-30,316,0
2020-5-1,327,0
2020-5-2,334,0
2020-5-3,339,0
2020-5-4,340,340
2020-5-5,353,353
2020-5-6,362,362
2020-5-7,374,374
2020-5-8,384,384
2020-5-9,398,398
2020-5-10,400,400
2020-5-11,409,409
2020-5-12,418,418
2020-5-13,421,421
2020-5-14,434,434
2020-5-15,445,445
2020-5-16,453,453
2020-5-17,453,453
2020-5-18,459,459
2020-5-19,467,467
2020-5-20,481,481
2020-5-21,487,487
2020-5-22,496,496
2020-5-23,507,507
2020-5-24,510,510
2020-5-25,514,514
2020-5-26,517,517
2020-5-27,539,539
2020-5-28,550,550
2020-5-29,568,568
2020-5-30,588,588
2020-5-31,592,592
2020-6-1,595,595
2020-6-2,607,607
2020-6-3,616,616
2020-6-4,626,626
2020-6-5,633,633
2020-6-6,645,645
2020-6-7,647,647
2020-6-8,646,646
2020-6-9,661,661
2020-6-10,671,671
2020-6-11,682,682
2020-6-12,689,689
2020-6-13,691,691
2020-6-14,692,692
2020-6-15,694,694
2020-6-16,703,703
2020-6-17,712,712
2020-6-18,719,719
2020-6-19,730,730
2020-6-20,744,744
2020-6-21,744,744
2020-6-22,745,745
2020-6-23,750,750
2020-6-24,757,757
2020-6-25,766,766
2020-6-26,766,766
2020-6-27,777,777
2020-6-28,777,777
2020-6-29,784,777
2020-6-30,784,777
2020-7-1,793,786
2020-7-2,800,793
2020-7-3,803,796
2020-7-4,803,796
2020-7-5,803,796
2020-7-6,803,796
2020-7-7,812,805
2020-7-8,814,807
2020-7-9,816,809
2020-7-10,821,814
2020-7-11,828,821
2020-7-12,827,820
2020-7-13,827,820
2020-7-14,833,826
2020-7-15,834,827
2020-7-16,838,831
2020-7-17,840,833
2020-7-18,850,843
2020-7-19,851,844
2020-7-20,853,846
2020-7-21,866,859
2020-7-22,872,865
2020-7-23,885,878
2020-7-24,885,878
2020-7-25,898,891
2020-7-26,899,892
2020-7-27,900,893
2020-7-28,913,906
2020-7-29,918,911
2020-7-30,926,919
2020-7-31,941,934
2020-8-1,954,947
2020-8-2,955,948
2020-8-3,956,949
2020-8-4,968,961
2020-8-5,977,970
2020-8-6,985,978
2020-8-7,997,990
2020-8-8,1003,996
2020-8-9,1005,998
2020-8-10,1005,998
2020-8-11,1013,1006
2020-8-12,1018,1011
2020-8-13,1025,1018
2020-8-14,1032,1025
2020-8-15,1045,1038
2020-8-16,1046,1039
2020-8-17,1046,1039
2020-8-18,1059,1052
2020-8-19,1067,1060
2020-8-20,1074,1067
2020-8-21,1075,1068
2020-8-22,1089,1081
2020-8-23,1089,1081
2020-8-24,1089,1081
2020-8-25,1102,1094
2020-8-26,1108,1100
2020-8-27,1119,1111
2020-8-28,1121,1113
2020-8-29,1127,1119
2020-8-30,1130,1122
2020-8-31,1130,1122
2020-9-1,1139,1130
2020-9-2,1150,1142
2020-9-3,1154,1146
2020-9-4,1161,1153
2020-9-5,1176,1168
2020-9-6,1176,1168
2020-9-7,1176,1168
2020-9-8,1176,1168
2020-9-9,1191,1183
2020-9-10,1201,1193
2020-9-11,1205,1197
2020-9-12,1217,1209
2020-9-13,1218,1210
2020-9-14,1218,1210
2020-9-15,1229,1220
2020-9-16,1237,1228
2020-9-17,1239,1231
2020-9-18,1246,1238
2020-9-19,1249,1241
2020-9-20,1250,1242
2020-9-21,1252,1244
2020-9-22,1259,1251
2020-9-23,1268,1259
2020-9-24,1275,1265
2020-9-25,1284,1274
2020-9-26,1291,1281
2020-9-27,1291,1281
2020-9-28,1293,1283
2020-9-29,1310,1300
2020-9-30,1337,1327
2020-10-1,1358,1348
2020-10-2,1363,1353
2020-10-3,1383,1372
2020-10-4,1388,1377
2020-10-5,1392,1381
2020-10-6,1410,1399
2020-10-7,1426,1415
2020-10-8,1435,1424
2020-10-9,1451,1440
2020-10-10,1468,1458
2020-10-11,1475,1465
2020-10-12,1484,1474
2020-10-13,1518,1508
2020-10-14,1547,1536
2020-10-15,1565,1553
2020-10-16,1588,1574
2020-10-17,1588,1574
2020-10-18,1588,1574
2020-10-19,1617,1600
2020-10-20,1652,1633
2020-10-21,1702,1681
2020-10-22,1725,1703
2020-10-23,1774,1745
2020-10-24,1803,1770
2020-10-25,1813,1778
2020-10-26,1824,1788
2020-10-27,1895,1852
2020-10-28,1943,1897
2020-10-29,2003,1948
2020-10-30,2029,1972
2020-10-31,2092,2031
2020-11-1,2110,2047
2020-11-2,2113,2050
2020-11-3,2171,2102
2020-11-4,2229,2156
2020-11-5,2269,2194
2020-11-6,2333,2256
2020-11-7,2381,2301
2020-11-8,2392,2312
2020-11-9,2410,2329
2020-11-10,2482,2395
2020-11-11,2554,2457
2020-11-12,2621,2515
2020-11-13,2683,2573
2020-11-14,2739,2625
2020-11-15,2751,2637
2020-11-16,2764,2649
2020-11-17,2867,2741
2020-11-18,2925,2793
2020-11-19,3010,2876
2020-11-20,3091,2954
2020-11-21,3143,3005
2020-11-22,3150,3005
2020-11-23,3158,3011
2020-11-24,3272,3115
2020-11-25,3343,3178
2020-11-26,3415,3240
2020-11-27,3434,3257
2020-11-28,3464,3285
2020-11-29,3487,3307
2020-11-30,3494,3313
2020-12-1,3611,3420
2020-12-2,3703,3502
2020-12-3,3773,3562
2020-12-4,3842,3625
2020-12-5,3934,3702
2020-12-6,3952,3719
2020-12-7,3973,3738
2020-12-8,4054,3806
2020-12-9,4142,3887
2020-12-10,4209,3944
2020-12-11,4266,3991
2020-12-12,4324,4041
2020-12-13,4339,4056
2020-12-14,4352,4068
2020-12-15,4408,4122
2020-12-16,4493,4196
2020-12-17,4561,4255
2020-12-18,4632,4315
2020-12-19,4722,4399
2020-12-20,4743,4417
2020-12-21,4751,4425
2020-12-22,4879,4545
2020-12-23,4953,4614
2020-12-24,5019,4674
2020-12-25,5025,4679
2020-12-26,5029,4683
2020-12-27,5039,4692
2020-12-28,5060,4711
2020-12-29,5152,4783
2020-12-30,5192,4818
2020-12-31,5242,4859
2021-1-1,5254,4869
2021-1-2,5256,4870
2021-1-3,5261,4875
2021-1-4,5269,4884
2021-1-5,5366,4979
2021-1-6,5435,5039
2021-1-7,5477,5079
2021-1-8,5529,5119
2021-1-9,5567,5155
2021-1-10,5570,5157
2021-1-11,5575,5162
2021-1-12,5633,5211
2021-1-13,5679,5248
2021-1-14,5728,5290
2021-1-15,5770,5322
2021-1-16,5905,5450
2021-1-17,5906,5451
2021-1-18,5926,5470
2021-1-19,5973,5512
2021-1-20,6035,5562
2021-1-21,6090,5607
2021-1-22,6135,5643
2021-1-23,6184,5685
2021-1-24,6190,5691
2021-1-25,6199,5699
2021-1-26,6264,5753
2021-1-27,6302,5787
2021-1-28,6334,5811
2021-1-29,6390,5860
2021-1-30,6430,5893
2021-1-31,6434,5896
2021-2-1,6436,5897
2021-2-2,6480,5937
2021-2-3,6496,5951
2021-2-4,6545,5992
2021-2-5,6575,6020
2021-2-6,6611,6052
2021-2-7,6613,6054
2021-2-8,6614,6055
2021-2-9,6663,6094
2021-2-10,6705,6129
2021-2-11,6723,6140
2021-2-12,6734,6151
