Date,WYDATA.Death,WYDATA.DeathConfirmed
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,1,0
2020-4-14,1,0
2020-4-15,2,0
2020-4-16,2,0
2020-4-17,2,0
2020-4-18,2,0
2020-4-19,2,0
2020-4-20,2,0
2020-4-21,6,0
2020-4-22,6,0
2020-4-23,7,0
2020-4-24,7,0
2020-4-25,7,0
2020-4-26,7,0
2020-4-27,7,0
2020-4-28,7,0
2020-4-29,7,0
2020-4-30,7,0
2020-5-1,7,0
2020-5-2,7,0
2020-5-3,7,0
2020-5-4,7,0
2020-5-5,7,0
2020-5-6,7,0
2020-5-7,7,0
2020-5-8,7,0
2020-5-9,7,0
2020-5-10,7,0
2020-5-11,7,0
2020-5-12,7,0
2020-5-13,7,0
2020-5-14,7,0
2020-5-15,7,0
2020-5-16,7,0
2020-5-17,8,0
2020-5-18,8,0
2020-5-19,10,0
2020-5-20,11,0
2020-5-21,11,0
2020-5-22,12,0
2020-5-23,12,0
2020-5-24,12,0
2020-5-25,12,0
2020-5-26,13,0
2020-5-27,13,0
2020-5-28,15,0
2020-5-29,15,0
2020-5-30,16,0
2020-5-31,16,0
2020-6-1,17,0
2020-6-2,17,0
2020-6-3,17,0
2020-6-4,17,0
2020-6-5,17,0
2020-6-6,17,0
2020-6-7,17,0
2020-6-8,17,0
2020-6-9,17,0
2020-6-10,18,0
2020-6-11,18,0
2020-6-12,18,0
2020-6-13,18,0
2020-6-14,18,0
2020-6-15,18,0
2020-6-16,18,0
2020-6-17,18,0
2020-6-18,18,0
2020-6-19,20,0
2020-6-20,20,0
2020-6-21,20,0
2020-6-22,20,0
2020-6-23,20,0
2020-6-24,20,0
2020-6-25,20,0
2020-6-26,20,0
2020-6-27,20,0
2020-6-28,20,0
2020-6-29,20,0
2020-6-30,20,0
2020-7-1,20,0
2020-7-2,20,0
2020-7-3,20,0
2020-7-4,20,0
2020-7-5,20,0
2020-7-6,20,0
2020-7-7,20,0
2020-7-8,21,0
2020-7-9,21,0
2020-7-10,21,0
2020-7-11,21,0
2020-7-12,21,0
2020-7-13,21,0
2020-7-14,22,0
2020-7-15,22,0
2020-7-16,24,0
2020-7-17,24,0
2020-7-18,24,0
2020-7-19,24,0
2020-7-20,24,0
2020-7-21,25,0
2020-7-22,25,0
2020-7-23,25,0
2020-7-24,25,0
2020-7-25,25,0
2020-7-26,25,0
2020-7-27,25,0
2020-7-28,26,0
2020-7-29,26,0
2020-7-30,26,0
2020-7-31,26,0
2020-8-1,26,0
2020-8-2,26,0
2020-8-3,27,0
2020-8-4,27,0
2020-8-5,27,0
2020-8-6,27,0
2020-8-7,28,0
2020-8-8,28,0
2020-8-9,28,0
2020-8-10,28,0
2020-8-11,29,0
2020-8-12,29,0
2020-8-13,30,0
2020-8-14,30,0
2020-8-15,30,0
2020-8-16,30,0
2020-8-17,33,0
2020-8-18,34,0
2020-8-19,34,0
2020-8-20,34,0
2020-8-21,37,0
2020-8-22,37,0
2020-8-23,37,0
2020-8-24,37,0
2020-8-25,37,0
2020-8-26,37,0
2020-8-27,37,0
2020-8-28,37,0
2020-8-29,37,0
2020-8-30,37,0
2020-8-31,37,0
2020-9-1,41,0
2020-9-2,41,0
2020-9-3,41,0
2020-9-4,42,0
2020-9-5,42,0
2020-9-6,42,0
2020-9-7,42,0
2020-9-8,42,0
2020-9-9,42,0
2020-9-10,42,0
2020-9-11,42,0
2020-9-12,42,0
2020-9-13,42,0
2020-9-14,46,0
